k	cluster	item	itemConsensus
347	3	1	TCGA.CQ.6218.01	0.911444565609515
348	3	1	TCGA.BA.5558.01	0.947406838616459
349	3	1	TCGA.CV.6948.01	0.909136241535063
350	3	1	TCGA.CV.7409.01	0.548116588528282
351	3	1	TCGA.CQ.6220.01	0.90599063306774
352	3	1	TCGA.CN.4731.01	0.909807955679739
353	3	1	TCGA.CQ.6223.01	0.911716577146691
354	3	1	TCGA.CV.5436.01	0.909026139970832
355	3	1	TCGA.CQ.5324.01	0.905919046501925
356	3	1	TCGA.CN.4726.01	0.909048416833914
357	3	1	TCGA.CR.7369.01	0.910016291475739
358	3	1	TCGA.CV.7252.01	0.912321751482338
359	3	1	TCGA.CV.A464.01	0.913690387966721
360	3	1	TCGA.CX.7219.01	0.914862497252339
361	3	1	TCGA.HD.7754.01	0.911488788309287
362	3	1	TCGA.CV.7095.01	0.912052239834826
363	3	1	TCGA.P3.A5Q6.01	0.893815420546938
364	3	1	TCGA.CV.7178.01	0.912191710063124
365	3	1	TCGA.BA.A6D8.01	0.0180840542681754
366	3	1	TCGA.BA.6872.01	0.0149328109568856
367	3	1	TCGA.CN.4728.01	0.0158333809000596
368	3	1	TCGA.CN.4740.01	0.0154986390193293
369	3	1	TCGA.CN.5364.01	0.0166255103993699
370	3	1	TCGA.CN.6016.01	0.0238662699890675
371	3	1	TCGA.CN.6018.01	0.0140072893477825
372	3	1	TCGA.CN.6994.01	0.0119982703685103
373	3	1	TCGA.CN.A63V.01	0.504748746816412
374	3	1	TCGA.CQ.5326.01	0.0147765615335883
375	3	1	TCGA.CQ.5332.01	0.893964874331931
376	3	1	TCGA.CQ.6227.01	0.905376482971057
377	3	1	TCGA.CQ.6228.01	0.905377857377199
378	3	1	TCGA.CQ.7069.01	0.0215278698521316
379	3	1	TCGA.CQ.7072.01	0.0167188590437043
380	3	1	TCGA.CQ.A4CI.01	0.911424312866379
381	3	1	TCGA.CR.5247.01	0.0616304763624904
382	3	1	TCGA.CR.6484.01	0.0145306176063538
383	3	1	TCGA.CR.7365.01	0.0146124407228852
384	3	1	TCGA.CR.7367.01	0.0161877200893455
385	3	1	TCGA.CV.6937.01	0.0151190283314255
386	3	1	TCGA.CV.7090.01	0.0160991877092222
387	3	1	TCGA.CV.7097.01	0.0167613243131275
388	3	1	TCGA.CV.7102.01	0.0139472525914037
389	3	1	TCGA.CV.7263.01	0.0143828356834473
390	3	1	TCGA.CV.7413.01	0.0226896016066247
391	3	1	TCGA.CV.7423.01	0.184249571814888
392	3	1	TCGA.CV.7435.01	0.0153491654770181
393	3	1	TCGA.CV.A45X.01	0.0228342878688017
394	3	1	TCGA.DQ.7590.01	0.0153025329921045
395	3	1	TCGA.HD.A633.01	0.107544498619348
396	3	1	TCGA.IQ.7631.01	0.0137861928249355
397	3	1	TCGA.MT.A7BN.01	0.152012948822479
398	3	1	TCGA.P3.A6T0.01	0.877977005240059
399	3	1	TCGA.P3.A6T5.01	0.0224762368952468
400	3	1	TCGA.P3.A6T7.01	0.164654676774123
401	3	1	TCGA.P3.A6T8.01	0.159865039080742
402	3	1	TCGA.QK.A6IH.01	0.0220246537193309
403	3	1	TCGA.QK.A6VB.01	0.904377757558798
404	3	1	TCGA.UF.A71A.01	0.902351546607981
405	3	1	TCGA.UF.A71B.01	0.163267636474792
406	3	1	TCGA.UF.A7JA.01	0.873150531181299
407	3	1	TCGA.UF.A7JC.01	0.133584600337507
408	3	1	TCGA.WA.A7GZ.01	0.013391585585777
409	3	1	TCGA.CQ.A4C7.01	0.838325329871363
410	3	1	TCGA.CN.6020.01	0.910443935539678
411	3	1	TCGA.BB.A5HU.01	0.902748648944646
412	3	1	TCGA.CR.7379.01	0.902791257592621
413	3	1	TCGA.P3.A6SX.01	0.911811305319397
414	3	1	TCGA.QK.A8Z7.01	0.899384023566597
415	3	1	TCGA.UF.A7JD.01	0.910368938636456
416	3	1	TCGA.MT.A67D.01	0.907827796621053
417	3	1	TCGA.CN.5358.01	0.103770267680225
418	3	1	TCGA.BA.A6DD.01	0.061923587763174
419	3	1	TCGA.CN.5359.01	0.839270456701918
420	3	1	TCGA.CR.5248.01	0.0692120334065763
421	3	1	TCGA.CR.6481.01	0.0570542494168653
422	3	1	TCGA.CR.7376.01	0.525653110183079
423	3	1	TCGA.CR.7386.01	0.511806463861877
424	3	1	TCGA.MZ.A5BI.01	0.0649258255556772
425	3	1	TCGA.CR.7373.01	0.629264931290765
426	3	1	TCGA.CN.6013.01	0.105058043220518
427	3	1	TCGA.CN.5369.01	0.0714981633781974
428	3	1	TCGA.CN.A6V1.01	0.0685060458242707
429	3	1	TCGA.CQ.5331.01	0.0735805986231124
430	3	1	TCGA.CR.6478.01	0.0765088719566204
431	3	1	TCGA.CV.6938.01	0.0795467822650756
432	3	1	TCGA.CV.6942.01	0.0788370625416555
433	3	1	TCGA.H7.A76A.01	0.0679054842016411
434	3	1	TCGA.TN.A7HI.01	0.0676226555858304
435	3	1	TCGA.BA.5152.01	0.0963504301306552
436	3	1	TCGA.BA.5149.01	0.836659764333769
437	3	1	TCGA.BA.5153.01	0.0721379367937973
438	3	1	TCGA.BA.5556.01	0.0787262636230363
439	3	1	TCGA.BA.5559.01	0.0751252094837824
440	3	1	TCGA.BA.A6DJ.01	0.90227405947929
441	3	1	TCGA.BB.4223.01	0.0684019122358776
