logFC	AveExpr	t	P.Value	adj.P.Val	B
KLHL4	-0.680131426291001	1.26836060169291	-6.24210881757394	5.07249088048977e-07	0.0121754998604396	6.06874798137319
LOC101927282	-0.116375641421015	1.03071442109056	-5.70583560974745	2.42439676384376e-06	0.0290963977612708	4.5258033446703
FAM133A	-0.812994341637977	1.16599438371513	-5.00494726211	1.89038471665675e-05	0.151249681179707	2.50782759537846
PRG1	-0.101916329213503	1.03517354922402	-4.73145305775884	4.19976770670694e-05	0.252017560660217	1.72698939463499
HTR2C	-0.292749432856738	1.11482021554744	-4.42580631007404	0.00010184145718709	0.372809759406125	0.863641033543635
CXorf30	-0.017261165181633	1.00517582588904	-4.38445707813544	0.000114726718871332	0.372809759406125	0.747818637454783
HIST2H2BC	-0.0872317639789908	1.05659650204446	-4.37125557897195	0.000119169658435892	0.372809759406125	0.710896078406032
C8orf37-AS1	-0.168698514678704	1.10183611592118	-4.23655976988969	0.000175386463652938	0.372809759406125	0.335823474761205
DCP1B	-0.642820060772537	1.93622446391483	-4.20170980458996	0.000193753633010048	0.372809759406125	0.239301145561888
ZBED5	-0.42945491227514	4.05668192929882	-4.20022785510132	0.000194575217883837	0.372809759406125	0.235201670414601
LINC00871	-0.0656000390922253	1.01576466701159	-4.16753573756092	0.000213595479187505	0.372809759406125	0.144872662916806
LINC01057	-0.179858437256569	1.17964724250243	-4.15188072857334	0.00022333875459531	0.372809759406125	0.101690670752485
SEMA6D	-0.660949531934004	1.63999614066366	-4.14489737947025	0.000227824487415778	0.372809759406125	0.0824436878463386
PPP5D1	-0.0962512531376039	1.07076866627479	-4.13612165105249	0.000233587083267113	0.372809759406125	0.0582704068169635
MAX	0.535733649969551	5.18906627244221	4.11618705751757	0.000247213796817336	0.372809759406125	0.00341676189350082
KCND3-IT1	-0.0719340742296066	1.02565888812385	-4.11434905301337	0.000248508776007082	0.372809759406125	-0.00163678873932671
CEBPZOS	-0.265297699874694	1.79770549024308	-4.06916864244751	0.00028251691608746	0.39889726687337	-0.125639832200764
RPAP2	-0.444785491189487	3.18921597754844	-4.03352432285862	0.000312527943553765	0.416756012728945	-0.223164949491983
PLK5	-0.0140377729905068	1.00595403133464	-3.92286336035533	0.000426974896307496	0.525685570412825	-0.524128725573491
POMGNT1	-0.547941180257249	4.16990089727266	-3.90142495130915	0.000453465193118105	0.525685570412825	-0.582102467065528
ZNF311	-0.306828773558552	1.32315575450418	-3.89638851903872	0.000459917384438168	0.525685570412825	-0.595705752797592
WDR72	-1.71674744542887	1.93424082317969	-3.79994235482656	0.000602232072653213	0.649669640336004	-0.85497304270588
TMEM167B	-0.371493753100973	4.19933813815293	-3.78804136843647	0.000622522256706582	0.649669640336004	-0.88679820890515
IFITM10	-0.385757487042463	1.49433862439593	-3.73942122814633	0.00071254582362139	0.679807940796677	-1.01641918858388
NBEAP1	-0.427278660283753	1.23135199484747	-3.67779928487386	0.000844957472300949	0.679807940796677	-1.17975729985919
GCH1	0.748991462146406	3.56206267358002	3.65735606357708	0.00089394240168347	0.679807940796677	-1.23370390575125
ITPK1	0.468412447933543	3.86326918462275	3.64019586977941	0.000937176292347999	0.679807940796677	-1.27889206154924
ZP1	-0.0477185766474375	1.02210752083802	-3.63431432139877	0.000952455450450989	0.679807940796677	-1.2943598491967
CST2	-0.195543225942292	1.06289808958242	-3.62184551568449	0.000985649233932697	0.679807940796677	-1.32711701522746
TMEM251	0.596294068769181	3.58599267657322	3.62101874663683	0.000987889383216941	0.679807940796677	-1.32928738709048
GABRA3	-0.40313966720419	1.27040326007526	-3.62065479357842	0.000988877084352954	0.679807940796677	-1.33024274370552
GDF6	-0.168657177117358	1.1007271260943	-3.60996213400602	0.00101832546408121	0.679807940796677	-1.35829244850574
CDH20	-0.111495231583853	1.0623086692072	-3.6047650378588	0.00103294351770066	0.679807940796677	-1.37191324568045
LINC00645	-0.256693098147811	1.10337929420299	-3.60452692409503	0.00103361811187218	0.679807940796677	-1.37253710774124
CPNE9	-0.0356209482554661	1.02547759867893	-3.60200925539492	0.00104077699597582	0.679807940796677	-1.37913237944711
CDH12	-0.104492807288325	1.05899248672803	-3.59758920690597	0.00105346145055551	0.679807940796677	-1.39070641094488
EFTUD1P1	-0.026195628645296	1.01140278512839	-3.59129371219766	0.00107178655269274	0.679807940796677	-1.40718097419523
IFT140	-0.376597538852368	1.92909517135345	-3.58365382879884	0.00109443939630382	0.679807940796677	-1.42715718878165
WASH2P	-0.166771231050074	1.43440150627895	-3.5784616558105	0.00111009817297717	0.679807940796677	-1.44072296364526
ERMAP	-0.388895746859544	2.21701212000305	-3.56852498468847	0.00114067185046307	0.679807940796677	-1.46666139448458
CNTN5	-0.146985168638575	1.05517294935891	-3.55980460986364	0.00116817256789247	0.679807940796677	-1.48939930239571
FOS	1.50687931762959	7.27065870290425	3.55317262436086	0.00118951520699331	0.679807940796677	-1.50667577395474
FKBP3	0.535085921095106	4.85819084901209	3.53015322268224	0.00126655735011436	0.69112103608669	-1.56653311973744
DMRTA1	-0.708804491482385	1.40665153961251	-3.52743035507159	0.00127598290993202	0.69112103608669	-1.57360214448975
PATE1	-0.0147069896456238	1.00288894137457	-3.51701436539215	0.0013126681477142	0.69112103608669	-1.600621672479
ZNF436	-0.470593135596915	3.63353240009824	-3.50751446775975	0.00134701297277703	0.69112103608669	-1.6252340479553
DHRS4L2	0.660208886130146	3.58215011662369	3.5058072706743	0.00135327620281108	0.69112103608669	-1.62965393453403
CST1	-2.39499934250756	2.14780878279763	-3.48611083951917	0.00142759944683269	0.701565941560742	-1.68057807269412
LOC101928283	-0.0170831407575827	1.00470314895169	-3.48492829760456	0.0014321847742564	0.701565941560742	-1.683631391382
LOC148413	-0.354383335144681	2.82195087161513	-3.47195254299037	0.00148344030965855	0.711069338350146	-1.71710411755788
DDHD2	-0.746058857363626	3.23978021527023	-3.45131525941197	0.00156861996179042	0.711069338350146	-1.7702242712233
NIPAL3	-0.594105215398923	3.25715084171219	-3.45071393147629	0.00157117123527148	0.711069338350146	-1.77176992126104
SLC22A1	-0.534943793287968	1.33741319106638	-3.44857145020755	0.00158029373234564	0.711069338350146	-1.77727594315876
MAN2B2	-0.431926361830694	3.56009148338132	-3.44108103346654	0.00161258983413173	0.711069338350146	-1.79651346747098
XCL1	-0.476977578337326	1.5862790469093	-3.43725508927862	0.00162933023410649	0.711069338350146	-1.80633217673614
TMEM86B	-0.150128952407877	1.25158590296665	-3.41769972520587	0.00171754034141755	0.72385256366514	-1.85643933215012
NSUN4	-0.358335692744307	3.00003599668032	-3.41739837482701	0.00171893497183323	0.72385256366514	-1.85721045325367
TMED4	-0.503812044552189	5.36166997888917	-3.39098338694675	0.00184550605229819	0.763753134022644	-1.9246799771072
SLIRP	0.632148953833775	6.66475966464962	3.36628621026862	0.00197191332335605	0.787517675742118	-1.98753863018539
RAB40A	-0.0575123825499482	1.0604880745704	-3.36283235860827	0.00199024054319116	0.787517675742118	-1.99631189340332
DHRS4	0.662988576231191	4.13418300097813	3.35277769146775	0.00204452937297144	0.787517675742118	-2.02182764468939
DKFZp434J0226	-0.250533450626446	1.14034497951699	-3.34619959031158	0.00208081297048202	0.787517675742118	-2.03850108566016
DMWD	-0.377819489599872	3.0526601574773	-3.30471283435734	0.00232428076537043	0.787517675742118	-2.14329138585259
GPBP1L1	-0.511413303928951	5.32797054300767	-3.30396767352199	0.00232889397132142	0.787517675742118	-2.14516773650278
CCDC33	-0.00574139544592911	1.00178499589993	-3.30121576454017	0.00234600684947762	0.787517675742118	-2.15209537489546
ZNF679	-0.0593149332551175	1.01186287681186	-3.29916930342802	0.00235881088474215	0.787517675742118	-2.15724528430844
MAGEC2	-0.236838693057832	1.04207697406797	-3.29852125618394	0.0023628794375788	0.787517675742118	-2.15887576466077
CXorf22	-0.00947264670910375	1.00426229788274	-3.2930155426278	0.00239771739910553	0.787517675742118	-2.17272172165878
LINC00648	-0.106522878937354	1.02885836223548	-3.29282817406286	0.00239891160419581	0.787517675742118	-2.17319272194622
ZNF629	-0.44902875302529	2.35624313830199	-3.28706622906411	0.0024359149940967	0.787517675742118	-2.18767042810351
CAMK2N1	-1.01122418587493	2.69465424987216	-3.27879500056018	0.00248998951790594	0.787517675742118	-2.20843112167246
NPPB	-0.00946000593874952	1.00166941281272	-3.2780056492022	0.00249520966460598	0.787517675742118	-2.21041102870151
PSMB5	0.579988964269055	6.63508066312604	3.27582150499631	0.00250970850609904	0.787517675742118	-2.21588821953817
LOC647859	-0.00862820168681644	1.00152262382709	-3.27523111600365	0.00251364146069836	0.787517675742118	-2.21736842977934
BBS4	-0.356528826299679	2.46654356139595	-3.2719037759308	0.00253591748741468	0.787517675742118	-2.22570818055162
ST8SIA1	-0.26624943852673	1.36148900348993	-3.26893990005339	0.00255591911907425	0.787517675742118	-2.23313337669869
STX1A	-0.40410944825405	1.80508240469716	-3.26530811967146	0.00258063388338007	0.787517675742118	-2.24222725036485
RPL22L1	0.942330961281816	4.06273856181375	3.25787646206813	0.00263192162593351	0.787517675742118	-2.2608201480792
