logFC	AveExpr	t	P.Value	adj.P.Val	B
KLHL4	-1.02875415764776	0.455674162798738	-6.17082681909808	6.22382386701397e-07	0.0149390444279936	6.0438026953646
LOC101927282	-0.218893005160616	0.058521123590639	-5.90868986815307	1.33648897521354e-06	0.0160398724360253	5.30558107438842
FAM133A	-1.17206942762493	0.249647319425724	-4.95146952078946	2.20713156749321e-05	0.176592596715132	2.60122835153019
PRG1	-0.191600672887392	0.0672915408119937	-4.70668210121107	4.50788817385834e-05	0.270507099592804	1.9149294907946
CXorf30	-0.0341048934135968	0.0102590609619793	-4.47703046993287	8.77468232137534e-05	0.421237399519944	1.27632724985169
HIST2H2BC	-0.16558861019053	0.10925062937784	-4.34041913216728	0.000130085881040588	0.463560258158568	0.899630707892087
HTR2C	-0.501700891034249	0.2051788883929	-4.29577687857922	0.000147877948282013	0.463560258158568	0.777137075238926
C8orf37-AS1	-0.306182146908895	0.190672919457475	-4.17386691822675	0.000209582519004856	0.463560258158568	0.444319945320428
ZBED5	-0.454821557105145	3.96547258377305	-4.16813075243821	0.000213038886425159	0.463560258158568	0.428724731977013
LINC00871	-0.124893347115823	0.030245910350592	-4.16258419172999	0.000216434204997387	0.463560258158568	0.4136507813243
MAX	0.553202119602934	5.1476917114624	4.13206071167615	0.000236091466640703	0.463560258158568	0.330799734265245
PPP5D1	-0.176927733319503	0.136050712289679	-4.11986628403944	0.000244425412057197	0.463560258158568	0.297749408956117
KCND3-IT1	-0.137274161386698	0.0494996856829305	-4.08596988280163	0.00026913616997139	0.463560258158568	0.206032669404544
LINC01057	-0.31614332614206	0.332844421655291	-4.08435016332012	0.000270376353548304	0.463560258158568	0.201655721523561
PLK5	-0.0278122894579369	0.0118274445116408	-4.01248263458364	0.000331415028165864	0.470057647617032	0.00798826436034439
SEMA6D	-0.916127647655171	1.04225399709415	-4.00334238811273	0.000340085756925011	0.470057647617032	-0.0165652013071345
DCP1B	-0.852647843788037	1.46998664654095	-4.00023916027133	0.000343079740403433	0.470057647617032	-0.02489733063614
RPAP2	-0.489961249896439	3.01791177862777	-3.99064598772684	0.000352499173316109	0.470057647617032	-0.0506417226020757
CEBPZOS	-0.363294510972568	1.30256359938633	-3.95554428687266	0.00038916985250859	0.491644419461246	-0.144669291883234
POMGNT1	-0.578276443467523	4.08440879603339	-3.87023888982068	0.000494519508929265	0.557280918891485	-0.37200965155184
ZNF311	-0.498206731998375	0.571281047994759	-3.86279398400208	0.000504934588736944	0.557280918891485	-0.39176899076228
WDR72	-2.25879881862856	1.29673013783551	-3.85868299930492	0.000510776995192795	0.557280918891485	-0.40267409609269
TMEM167B	-0.391615742696787	4.11721121300172	-3.77141301740522	0.000651543839453925	0.67995681645272	-0.633180103095745
IFITM10	-0.560787756696693	0.843880310264128	-3.72510499925803	0.000740893752998378	0.690286237808095	-0.754694292985925
GCH1	0.837816424752897	3.42382973214757	3.72479827128068	0.00074152353327798	0.690286237808095	-0.755497247327231
LINC00645	-0.447460408720332	0.184345754766143	-3.70994138211138	0.000772658401772933	0.690286237808095	-0.794359081325047
ITPK1	0.507822593418293	3.7574992007308	3.68104161459863	0.000836898124712394	0.690286237808095	-0.869779681557338
CCDC33	-0.0114380879480665	0.00355901292076475	-3.68097817518317	0.000837044685678227	0.690286237808095	-0.869944985932652
NBEAP1	-0.659994205919839	0.40047025269393	-3.66801409754426	0.000867523188933338	0.690286237808095	-0.903701817779933
