logFC	AveExpr	t	P.Value	adj.P.Val	B
WDR72	-2.25879881862856	1.29673013783551	-3.85868299930492	0.000510776995192795	0.557280918891485	-0.40267409609269
CST1	-2.73261628554116	1.52111894971266	-3.31967587367223	0.00223243307002099	0.794625516800503	-1.79140260599602
RNF128	-1.6562398931541	1.97130689955349	-2.97103715352612	0.00554672462194506	0.879077956221167	-2.63600015809737
CASC9	-1.89331742365992	1.2824532955715	-2.92160531768976	0.00628937122924355	0.909420347081524	-2.75161638307684
HLA-DQB2	-1.2678674711771	2.81666349793936	-2.61861680884394	0.0133049092233488	1	-3.43471620729147
CD207	-1.37331540953998	1.71431015296462	-2.59339209217952	0.0141368385535421	1	-3.48947079852497
MAGEA4	-2.29864997893985	1.8960623821356	-2.39723958672819	0.0224339536930345	1	-3.90317014319742
CTHRC1	-1.29350418545229	4.9204933962344	-2.3554809368111	0.0246936260164257	1	-3.98836311151563
MAGEA11	-1.45283149933306	0.72926898606745	-2.34365971113818	0.0253697644208291	1	-4.01228944053388
MIR4441	-2.09056371640433	0.368923008777234	-2.31333356799608	0.02718163381654	1	-4.07328089243657
COL11A1	-1.56461619652971	3.08034785111347	-2.26009427962134	0.0306469663175316	1	-4.17898194273864
TH	-1.28193711831332	0.912472243866112	-2.21009657866867	0.0342575412792643	1	-4.27662406058703
COL10A1	-1.25576532393855	2.84938799328193	-2.1857193086117	0.0361522723714004	1	-4.32365095727235
MMP11	-1.70357864462063	4.04383262283793	-2.16278556600394	0.038019572851574	1	-4.36754123476843
MMP13	-2.17047481945161	5.07053974565773	-2.1172612401721	0.0419821732498651	1	-4.45364175973917
CLDN1	-1.90390813108689	5.38253228400468	-2.09642811872034	0.0439145646047598	1	-4.49258431839406
MIR3936	-2.18165407267342	1.12352979178608	-2.06475323514311	0.0470032009361626	1	-4.55123331986774
