logFC	AveExpr	t	P.Value	adj.P.Val	B
FOS	1.52369578978226	7.25805896873595	3.56454235955149	0.00115248516646329	0.690286237808095	-1.17138682734708
ELOVL7	1.36340092830986	3.22385482101778	3.21999330080568	0.00290762797215429	0.830854693043087	-2.03780386483598
KRT5	3.96277812670566	10.7133508502775	3.11642497711886	0.00381358637921909	0.856507279479852	-2.28976472817
RNVU1-19	1.39627383302247	2.6867661599107	3.10086888649951	0.00397094636462806	0.856507279479852	-2.32723722007069
FFAR2	1.30287908337913	1.93447313617226	3.07700880793558	0.00422434329093935	0.856507279479852	-2.38451846992069
SNORA65	1.82093632318628	4.34599437660152	3.03640955979379	0.00469111711791165	0.858316448985604	-2.48143616485929
CTSG	1.77154660783976	2.33302305382029	2.98431107379288	0.00536187239954552	0.879077956221167	-2.60476736984693
BCL2A1	1.30709224769555	4.03237133331153	2.95271160460809	0.00581182983024872	0.879077956221167	-2.67899022376788
LOC645638	1.73128396485253	3.45709469302541	2.91551475205854	0.00638709943751496	0.91255683213495	-2.7657849226935
GPX2	2.31028572410318	3.82933489464081	2.79236425239823	0.00869719710871909	0.995846012427658	-3.0485414893143
CXCL17	1.91062757976581	2.03720074573049	2.75218666707711	0.00960634409248275	1	-3.1392053544839
CCL3	1.5595628245243	4.82242542453776	2.67658726196747	0.0115617265472803	1	-3.30759801967273
CCL18	1.28000794930444	5.24395012213793	2.63100236593904	0.0129132130024938	1	-3.40770634774236
FAM43A	1.25076746033442	3.81576005932613	2.55063049725169	0.0156576151386168	1	-3.58150269255911
CCL4	1.32316151014989	4.75579487435587	2.54664092031562	0.0158069261754993	1	-3.59003785870281
IL36A	2.20112866089242	2.28305058744808	2.52002395039999	0.0168370697416854	1	-3.64675490546739
IL6	1.70692657321785	3.63458074685622	2.50489497955132	0.0174497365447357	1	-3.67881584805047
G0S2	1.63990201423205	4.3554401741443	2.47212087893275	0.0188476855981244	1	-3.74782534918505
SPRR2C	2.09962289923167	2.88495057830162	2.40823930354545	0.0218708728232008	1	-3.88055644023122
DEFB4A	2.89776080963081	4.17503701283207	2.38986926410899	0.0228185887678755	1	-3.91828224839071
FPR2	1.24877835936964	2.35535521360095	2.38059804930674	0.0233109356657428	1	-3.93724602552929
ADH7	2.13787573134538	2.35429905186462	2.35992497876882	0.0244436935671031	1	-3.97934645093568
CSF3	1.41287811574209	2.07151401024299	2.35822655744523	0.0245389405637113	1	-3.98279383997518
AKR1B10	2.26123793142436	5.76665542091903	2.33622654019123	0.0258034593907838	1	-4.02729085984631
TGM3	3.16166673164302	3.3880193064076	2.32531709769978	0.0264521341146197	1	-4.04924701424178
AQP9	1.25604467261505	2.74404708428802	2.3091994370874	0.0274374842760029	1	-4.08155173278983
CCL8	1.3682272482553	2.83133291831104	2.30564847476536	0.0276589773210375	1	-4.08864746397042
PLA2G3	1.23656422683745	1.63658658892858	2.28571365117082	0.0289326378860754	1	-4.12833752001131
OSM	1.2993058728291	3.47465566514695	2.26072543470599	0.0306036583779105	1	-4.17773921769048
SPRR3	3.50026705786592	5.0349609184504	2.2464187658671	0.0315989601514125	1	-4.2058469474454
ODC1	1.42863341883578	7.00420293505561	2.20612866033324	0.0345597698443036	1	-4.28430479572884
CFB	1.21470022223747	4.53082313041684	2.19000400879025	0.0358126157943112	1	-4.31541303486599
ANXA1	1.20170624710231	10.020597313625	2.15442424957125	0.0387214284539588	1	-4.38345751173391
SERPINB4	2.00305043654642	5.04277834107982	2.12647668952827	0.0411516765723467	1	-4.43632323531951
LCE2D	1.63880484130527	1.72206096357549	2.11337321110591	0.0423369920578935	1	-4.46093153421387
LCE2C	1.95516783064026	2.36388450132999	2.11198141963834	0.0424646496949448	1	-4.46353859075632
THEM5	1.20857945205593	1.60895048086988	2.04983337531802	0.0485231928025846	1	-4.57862287606239
