logFC	AveExpr	t	P.Value	adj.P.Val	B
FKBP9|11328	-1.01744432559959	11.7940047548539	-10.2964683667024	1.04585485442897e-19	2.09390600405225e-15	34.0650960914055
KLRK1|22914	2.15933521371027	5.79751086135956	10.0434739625928	5.32408062448516e-19	5.32967090914087e-15	32.4885427237667
CD3D|915	1.99446294035756	7.12618448560837	9.86936182116422	1.62232942339922e-18	1.08268857952919e-14	31.4091119354963
GALNS|2588	-1.01453995899468	9.29155914465012	-9.81748388710611	2.2588889138832e-18	1.13063037362139e-14	31.0884317990173
SIRPG|55423	2.11231022650928	5.88932031856314	9.53268619348154	1.3783554058633e-17	5.51921071615781e-14	29.3362951422927
CD8A|925	2.25779554865249	7.83185345218645	9.4730068110414	2.00962636985675e-17	5.74910587229592e-14	28.971021685126
NKG7|4818	2.27324495179125	7.31464829997919	9.45390582712366	2.26705477999858e-17	5.74910587229592e-14	28.8542573796878
PTPRCAP|5790	2.00142407222166	7.83604231516857	9.45180971806568	2.29723025714836e-17	5.74910587229592e-14	28.8414481976912
CD2|914	1.84965732434927	8.12517454125703	9.39266969454701	3.33477564235555e-17	6.86952815726749e-14	28.4804043399259
TBC1D10C|374403	1.85227897190114	6.84168678391234	9.38814374010194	3.43116135920658e-17	6.86952815726749e-14	28.4528024885995
SEPT1|1731	1.66569044101362	6.95105828263431	9.35964711900882	4.10499373604282e-17	7.13206697499447e-14	28.2791085220005
PDCD1|5133	1.96724580543515	5.84978641175433	9.3532033868986	4.27475169571618e-17	7.13206697499447e-14	28.2398551480906
ACVR1|90	-0.866674517026807	9.77718834862443	-9.25901562351856	7.72172903125886e-17	1.18920566872949e-13	27.6670650286886
DENND2D|79961	0.868614226926839	9.09752952183162	8.89093469124962	7.64005591584109e-16	1.01974372994036e-12	25.4472080589648
UBA7|7318	1.13466907514771	9.74191153768554	8.86241928304591	9.11240029680104e-16	1.14024603963909e-12	25.2765457776546
ARHGAP9|64333	1.35089855321334	7.58758033796369	8.84255505524228	1.03014337462894e-15	1.1937398840458e-12	25.1577770964733
CD8B|926	2.33844073749067	5.70248592199964	8.83591378063695	1.07323899469679e-15	1.1937398840458e-12	25.1180903338852
CORO1A|11151	1.35942299026906	10.2692322494101	8.82053191411993	1.18005409205977e-15	1.24346647248046e-12	25.0262134790409
ZAP70|7535	1.75434012845567	6.72428759474858	8.78952051482227	1.42855903000539e-15	1.37239666545161e-12	24.8411587132077
CD3E|916	1.70461901504825	8.35835615699737	8.78597418946644	1.46009994104989e-15	1.37239666545161e-12	24.8200119483073
CXCR3|2833	2.15180272383698	6.02424294703441	8.78072577153996	1.50805287647647e-15	1.37239666545161e-12	24.7887213713615
UBD|10537	2.44157924140138	9.27934650689097	8.66302139429465	3.10704177538672e-15	2.4882433354007e-12	24.0888171230344
GPR18|2841	2.06995643162393	3.24288726035636	8.61138148901901	4.2616812723234e-15	3.28165849050718e-12	23.7828842576195
CDR2L|30850	-1.14304633702139	8.78741547301254	-8.56472353118494	5.66642786628e-15	4.201761196696e-12	23.5070748574994
RASAL3|64926	1.40804693923867	7.47629365247233	8.47512555612771	9.77653703205739e-15	6.99057313995789e-12	22.979087988753
C5orf56|441108	1.23946176741661	5.82859169883398	8.43078794801743	1.27951495884944e-14	8.55382162804753e-12	22.7186339175608
ETV7|51513	1.56779596411861	8.24780462982684	8.43050298011074	1.2817274304052e-14	8.55382162804753e-12	22.7169617024723
APCDD1L|164284	-2.61115172185952	5.53457460220932	-8.40814686619512	1.46766679637323e-14	9.47876030006077e-12	22.5858456546152
CXCR6|10663	1.7396455867742	6.94422377780896	8.38202840313702	1.71902389873757e-14	1.05828402688917e-11	22.4328435482013
CD247|919	1.60623184046058	6.85602939506892	8.37961158968711	1.74433709042218e-14	1.05828402688917e-11	22.4186956819326
CD6|923	1.57166511323752	7.51030173042664	8.36017651381601	1.96180611746979e-14	1.15521530229008e-11	22.3049849412139
SCML4|256380	2.05678460503807	3.92575271297349	8.32148536585335	2.47797091910174e-14	1.41747016489531e-11	22.0789353893068
LAG3|3902	1.8964887522733	7.48942039812607	8.3061974055508	2.71722645729674e-14	1.4763810282804e-11	21.989736891194
IRF1|3659	1.25704738328068	11.2134025707035	8.3055140529962	2.72844004027645e-14	1.4763810282804e-11	21.9857514273791
PVRIG|79037	1.44965358774626	5.65437674362763	8.25018284478771	3.80660244140279e-14	1.78349801073938e-11	21.6635043225152
MAP4K1|11184	1.62141197260619	6.94192331705591	8.24914159838484	3.83049869945525e-14	1.78349801073938e-11	21.657448840591
COL11A1|1301	-3.04839779946299	8.78207157690478	-8.2432953554711	3.96745685744787e-14	1.80528303961281e-11	21.6234553860063
GZMA|3001	1.99673075941439	7.49461132427266	8.21214558822591	4.78330988531523e-14	2.09476787093601e-11	21.4425051626916
SIT1|27240	1.81968796643298	5.53677344383316	8.21111707958317	4.8129125449806e-14	2.09476787093601e-11	21.4365354926088
KIF3C|3797	-1.05861901535251	8.65856386355504	-8.20244713303878	5.06978158313522e-14	2.11115473010913e-11	21.3862260852197
MAP4K4|9448	-0.755503407296247	12.0420153949246	-8.19674683074661	5.24602760680595e-14	2.11115473010913e-11	21.3531611281744
GZMM|3004	2.01691937152325	4.61695158955935	8.19591179910041	5.2723508568731e-14	2.11115473010913e-11	21.3483183020222
MTMR14|64419	0.549527424950007	9.39751093111062	8.18978468089091	5.46954804104612e-14	2.14717296725067e-11	21.3127901094214
SH2D1A|4068	1.86740932051103	5.32995356967818	8.18563760350049	5.60715148675727e-14	2.15886115223783e-11	21.2887496854077
MSL3|10943	0.44066321172005	9.18766520594277	8.1795231935457	5.81631697020215e-14	2.19714117095127e-11	21.2533142655671
TBX21|30009	1.85436291555816	4.41067005703933	8.17482386936742	5.98231580521469e-14	2.21799897659636e-11	21.2260875682161
ACAP1|9744	1.32048430322537	7.64636345139774	8.14611798131568	7.10328877681876e-14	2.58572626546706e-11	21.0599195784642
HSH2D|84941	1.49812429903715	6.7471653173241	8.13489075583902	7.59631027168001e-14	2.66817066577729e-11	20.9949981243085
CD27|939	1.87952365788128	7.17393017682956	8.13164266721119	7.74516755824798e-14	2.67355171868419e-11	20.9762233011113
KDELC1|79070	-0.87889886896904	7.18893455467452	-8.11172907750174	8.72311314088092e-14	2.96009234226401e-11	20.8611888400981
SLA2|84174	1.69605628677127	6.13992830921647	8.08885362725082	9.99831823012316e-14	3.33627215475493e-11	20.7291969403468
ABI3|51225	1.13974065305993	7.91497325269604	8.03141543248298	1.40733589540564e-13	4.61906097736334e-11	20.3985021268039
SASH3|54440	1.45853934260413	8.3178857461242	8.01881712349045	1.51670886857054e-13	4.89774649316947e-11	20.3261085412566
FUT7|2529	1.6224594344291	4.98304633672192	8.00439926759991	1.65224424750191e-13	5.22581070438041e-11	20.2433216061744
CIITA|4261	1.71701296784951	8.42379306007501	7.99871651866773	1.70890348601925e-13	5.22581070438041e-11	20.2107097461326
COL5A2|1290	-1.65407261165026	12.3410551168083	-7.99736019373531	1.7227086883228e-13	5.22581070438041e-11	20.202927675336
CD7|924	1.46191013977155	8.06517892564475	7.98839228612815	1.81680979326533e-13	5.4290072941739e-11	20.1514881824648
COL1A1|1277	-1.87921470943554	16.0948295743206	-7.97973495107328	1.91247828240432e-13	5.63084230764953e-11	20.101854740304
CD96|10225	1.57209320850124	6.93385960979881	7.93008930399456	2.56565630062369e-13	7.44449344851984e-11	19.8177009969699
GZMB|3002	1.94601547265874	7.80340017480498	7.89320834659804	3.18981529014284e-13	8.69080022089978e-11	19.607130899418
COL12A1|1303	-1.7522518316823	12.3792244304407	-7.89202142018025	3.21222324732323e-13	8.69080022089978e-11	19.6003616695898
COL5A1|1289	-1.68115161917732	12.9407506455754	-7.88586580248042	3.33096011551795e-13	8.89188699637132e-11	19.5652627096921
TIGIT|201633	1.60493725091725	6.82139281010335	7.87830349577963	3.48279590683125e-13	9.17487590140374e-11	19.5221601452295
SKAP1|8631	1.70153351045649	5.58929776106574	7.8572116604657	3.94345576698361e-13	1.025349713127e-10	19.4020447299695
OXNAD1|92106	0.59213913359623	7.56300851422541	7.85018198964748	4.11001341849624e-13	1.05495613656043e-10	19.3620447142553
GNGT2|2793	1.22105175593631	4.85984678883421	7.83645534269556	4.45558542545549e-13	1.12918070636765e-10	19.283985665627
LOXL2|4017	-1.26626599353036	10.4480142688175	-7.82890296021632	4.65783258724506e-13	1.16568082786542e-10	19.2410647712874
TNFRSF14|8764	0.957318218111405	9.49308486887341	7.8029123996967	5.42583580647231e-13	1.34111924298003e-10	19.0935056020203
CYTH3|9265	-0.682408380470841	9.49425913622092	-7.78077424665396	6.17797868930285e-13	1.50840623583576e-10	18.9679995087821
APOBEC3G|60489	1.27109693816847	8.58432077995038	7.76478356333014	6.78461417050765e-13	1.63656337720161e-10	18.877449199541
FKBP9L|360132	-1.17530727766092	6.40823197337085	-7.72920205274965	8.35419133113816e-13	1.9911817219133e-10	18.6762785326037
LAT|27040	1.23882348126439	7.11990324403756	7.71252353275854	9.2088116688514e-13	2.16905433437734e-10	18.5821328358659
FBXW5|54461	0.661085379255702	11.5191509744976	7.69593848808218	1.01443471913069e-12	2.36162761764135e-10	18.4886111537769
CD48|962	1.55325351532614	7.54453427613267	7.69300247532754	1.03194978603186e-12	2.37478927197056e-10	18.4720652690596
GIMAP5|55340	1.22919475996575	7.93743165640128	7.67098914799281	1.17316253656948e-12	2.66907808462019e-10	18.3481059173117
NUMBL|9253	-0.823290994225397	8.99806213536874	-7.65340317152943	1.29957799969219e-12	2.92346641930757e-10	18.2492004653714
APOL3|80833	1.34727018502351	9.90563747828764	7.63890657972058	1.41384972796434e-12	3.14518726706379e-10	18.1677526247292
P4HA3|283208	-1.86211405710166	5.81004246949495	-7.62831641229654	1.50356018967461e-12	3.28806758562231e-10	18.1083000455606
TRAF3IP3|80342	1.24662332996015	6.80934456976398	7.62747501963552	1.5109246185368e-12	3.28806758562231e-10	18.1035782350541
FKBP14|55033	-0.964286777232926	7.83359820906612	-7.62055807395314	1.57283471664091e-12	3.38599181310405e-10	18.0647706401794
CXCL10|3627	2.59937039568208	10.4508323550683	7.61591256058839	1.61581661269409e-12	3.44151748965409e-10	18.0387165641764
KDELR3|11015	-1.082014167921	8.4105049385995	-7.58897798366416	1.88892423638192e-12	3.98085811964235e-10	17.8878085978859
IDO1|3620	2.6216322573252	9.05526624055785	7.58274130967711	1.95840574197912e-12	4.08429597501709e-10	17.8529033407821
KIF26B|55083	-1.38558481667796	8.03590588816263	-7.57724921075718	2.02168193022546e-12	4.17279318814886e-10	17.8221769667979
CRTAM|56253	1.81216165325996	4.37532338847465	7.56142688879689	2.21550361610015e-12	4.48046443413547e-10	17.7337178277463
C9orf40|55071	0.924019097951008	7.22068548718019	7.53670959492672	2.55567377042255e-12	5.11671445576298e-10	17.5957115186863
ITGAL|3683	1.65403471548451	8.38594029701095	7.52782801989752	2.69012184965112e-12	5.33256728236288e-10	17.5461768606586
CCR5|1234	1.58167516381709	7.34650894907431	7.52269517849462	2.77098732507534e-12	5.43901345444445e-10	17.5175630013396
SERINC3|10955	-0.648198068280895	11.0731877132695	-7.50557231361999	3.05853286622526e-12	5.94513461307728e-10	17.4221790331032
SPOCK1|6695	-2.11194340662661	7.74200558756956	-7.50148961722072	3.13133868029252e-12	5.97071730648919e-10	17.3994521151352
C14orf37|145407	-1.46104249466085	5.42662087039363	-7.49248446752807	3.29803990278813e-12	6.22925065035105e-10	17.3493454818693
FGD2|221472	1.18295293002936	7.09143773216459	7.47537104284083	3.63938845641227e-12	6.80973797063833e-10	17.2542056411152
SLAMF6|114836	1.77049811602199	6.13938544642055	7.47135623016092	3.72439771597709e-12	6.90427469181271e-10	17.2319016139283
LOC606724|606724	1.42848834985263	5.08518626979746	7.46673945593736	3.82458206325614e-12	7.02495022829828e-10	17.2062608676849
IL12RB1|3594	1.56958707668059	6.43364525552811	7.46358936858148	3.89446387828499e-12	7.08827830064944e-10	17.1887704123273
IL2RG|3561	1.35991813558083	9.23246738243997	7.44867933581493	4.24274105542799e-12	7.65260528565079e-10	17.1060347907906
MAP1A|4130	-1.45213719553445	7.83342727019866	-7.4431782308831	4.37887043887532e-12	7.82762188006454e-10	17.075530283534
INHBA|3624	-2.31690368583025	8.94036445107496	-7.4385250641577	4.49738149723482e-12	7.96832521735738e-10	17.0497366149374
APOBEC3D|140564	1.30969867412788	6.81713768045376	7.43339236325861	4.63178606536813e-12	8.13447270304696e-10	17.0212942269049
COL3A1|1281	-1.81341494619581	15.3627491970044	-7.43082954646266	4.70037458319414e-12	8.18314778522868e-10	17.0070963323469
PRF1|5551	1.51399896154969	8.26130896738461	7.42651307969076	4.81817287453961e-12	8.31591716561703e-10	16.9831888964884
CALU|813	-0.761324023452653	11.9344617651123	-7.42396721535805	4.88901405258241e-12	8.32106062579945e-10	16.9690915229303
GBP4|115361	1.7725082605725	10.0654626631993	7.42342350375637	4.90427627912859e-12	8.32106062579945e-10	16.9660811122218
GLI2|2736	-1.97807891138155	6.3792695710128	-7.41696171643997	5.08930786211464e-12	8.51811020527094e-10	16.930312190271
MMP2|4313	-1.46488902580428	12.4080483699798	-7.41640715881002	5.10550534255288e-12	8.51811020527094e-10	16.9272431989381
KLRD1|3824	1.61699711352674	4.92812401500588	7.4070977370522	5.38514827070875e-12	8.91041764693057e-10	16.8757411013329
ZNF469|84627	-1.51521931563408	8.403674507172	-7.38708849970773	6.03846336405476e-12	9.90951434522461e-10	16.7651563960246
TMEFF1|8577	-0.87153613456178	6.21057712812097	-7.36945756460043	6.67866974819514e-12	1.08710282137085e-09	16.6678424739591
KIAA0748|9840	1.49044365982958	4.68049476001166	7.35323477601707	7.32677607860741e-12	1.17942934617708e-09	16.5784061351447
PYHIN1|149628	1.73230057238594	4.56533196823352	7.35235371807967	7.36370152700338e-12	1.17942934617708e-09	16.5735517557318
CNOT10|25904	0.466518147119293	8.90787117281676	7.34007535013352	7.89784363565503e-12	1.25494228118611e-09	16.5059325904489
COL1A2|1278	-1.73595232648834	15.2169537572616	-7.3365956633633	8.05606263308401e-12	1.27000338564547e-09	16.4867799241194
FLT3LG|2323	0.840891026227478	7.42336822539617	7.33392459088327	8.17963581364852e-12	1.27941006738326e-09	16.4720811583144
ADAMTS14|140766	-1.33643110564416	7.25383657650496	-7.31389237340503	9.16806180601391e-12	1.4119520416785e-09	16.3619331420325
RARRES3|5920	1.52638119719164	9.17963717378702	7.31115362809855	9.31206018614462e-12	1.42318135104429e-09	16.3468861509351
LCK|3932	1.28057246401912	7.89459468670002	7.30783335284131	9.48963401810676e-12	1.43933305057966e-09	16.3286480836234
NCF4|4689	1.05638276283745	7.41761694714071	7.3043903118212	9.67730726465463e-12	1.44994807379415e-09	16.3097402106781
TREX1|11277	0.784426719172711	8.69421822502808	7.28731769746404	1.06634624591178e-11	1.58143097699258e-09	16.2160523161528
HLA-DMA|3108	1.30875051901182	10.0700080791506	7.28377740207345	1.08800607528162e-11	1.60168894361863e-09	16.1966388306964
ITGB7|3695	1.22565732063576	7.97515582857112	7.27428988700652	1.14821805087088e-11	1.67799077346612e-09	16.1446375601523
WAS|7454	1.18180043013277	7.58124258280451	7.27085042649099	1.1708497842538e-11	1.69866547322792e-09	16.1257945426033
ICAM3|3385	1.01202132654513	8.27080365692703	7.26933206833904	1.18098029797917e-11	1.70103644214683e-09	16.1174777282957
GLG1|2734	-0.484666406824116	12.2589228323984	-7.24893462258918	1.32576727537767e-11	1.89594190145259e-09	16.0058387765724
ARHGAP15|55843	1.26165877636629	5.55126873157648	7.20253620419294	1.72365442187355e-11	2.43023135072748e-09	15.7525065601845
CD74|972	1.368132113254	15.1648572907372	7.20112554944459	1.73744014819681e-11	2.4325377067866e-09	15.7448179385727
TNFAIP8L2|79626	1.19369685474432	6.21208862961646	7.18979870038714	1.85215243875535e-11	2.55737544664282e-09	15.6831111043555
ITFG1|81533	-0.492759501515676	9.46901669824307	-7.18383117915308	1.91556431805085e-11	2.62681597340384e-09	15.650621749137
COL6A3|1293	-1.52501124675012	13.4090559188862	-7.18124844062923	1.94366923878781e-11	2.64722461427012e-09	15.6365648251046
COL6A1|1291	-1.36868385676163	13.4354200281143	-7.16554452784602	2.12353497474215e-11	2.8343529152875e-09	15.5511519359662
MCOLN2|255231	1.24126879608637	5.66443522654716	7.16090569320389	2.1797430349487e-11	2.88546505184514e-09	15.5259405835702
GZMK|3003	2.0383526099732	5.82862713945269	7.16001897888777	2.19065325348614e-11	2.88546505184514e-09	15.5211224193598
GPR171|29909	1.54522317366123	4.65156618821416	7.15491545067667	2.25450387468858e-11	2.95015830556471e-09	15.4933974293571
GRAP2|9402	1.4960100885714	5.1804428152943	7.14858353049707	2.33628200250073e-11	3.03731830987449e-09	15.4590138658993
NAPSB|256236	1.5759554308554	6.82674493187186	7.129009322545	2.6080596348315e-11	3.34717704801035e-09	15.3528251954761
LTA|4049	1.55522530439814	3.88505173417109	7.11795180604962	2.77514609692411e-11	3.53892993672087e-09	15.2929080463852
RHOH|399	1.27240771337094	6.69892275449235	7.11454989056133	2.82864546343856e-11	3.58432346984198e-09	15.2744842147367
BGN|633	-1.36149227437788	13.0116570710236	-7.11252465305201	2.86097698597149e-11	3.60249183875064e-09	15.2635183408895
GPR114|221188	1.83617634520591	5.11744208349412	7.09462003351484	3.16314834790781e-11	3.93381171503144e-09	15.1666450202915
TLN2|83660	-1.10802076230734	8.12239769763579	-7.09460601472398	3.16339686389322e-11	3.93381171503144e-09	15.166569222969
PSMB10|5699	0.934185649502856	10.7696092359041	7.09111515326614	3.22588430055868e-11	3.97390665811699e-09	15.147697222489
PTK7|5754	-0.677425642419788	12.0917672584282	-7.09059290775702	3.23533682270151e-11	3.97390665811699e-09	15.1448743346844
CTSW|1521	1.69553802672594	6.70917350411941	7.08773004365812	3.28764175976537e-11	4.01352900440624e-09	15.1294017250911
ITGAE|3682	0.807231041103151	8.43542119270589	7.0751784968256	3.52698573882801e-11	4.27962311982277e-09	15.0616056830212
GNA12|2768	-0.629401185956134	10.9494095151178	-7.0713323542879	3.603711790618e-11	4.34638034698572e-09	15.0408441317469
HEPH|9843	-1.31596776435823	7.42575164969935	-7.06696641095654	3.69280488309246e-11	4.42716446493378e-09	15.0172841111827
COL5A3|50509	-1.26579898467667	10.5349830315093	-7.06044546199237	3.82993656286788e-11	4.56423570983202e-09	14.9821097149262
TMEM149|79713	0.966002330467584	7.66804310571975	7.04188157155702	4.2484443622769e-11	5.03302393947608e-09	14.8820717569715
HCST|10870	1.25188347273604	6.95623732778801	7.03493922973492	4.41628534070202e-11	5.20108522389384e-09	14.8446974481536
SLAMF1|6504	1.44156631094104	5.19393067887966	7.02804927657259	4.58932487547906e-11	5.34202751930036e-09	14.8076250925362
ITGA5|3678	-1.13731071605779	11.9474854596995	-7.02002004845202	4.79943103794394e-11	5.55388891861443e-09	14.7644477887592
GIMAP1|170575	1.091514179007	6.23580253867716	7.01899920290098	4.82681520323117e-11	5.55388891861443e-09	14.758960112177
AMICA1|120425	1.33866076925382	7.51101012225156	7.01417859687979	4.958224951251e-11	5.67249267137122e-09	14.7330522818225
CCDC125|202243	0.780223393052294	7.14990665528848	6.98989314639107	5.67586099538875e-11	6.42013632704396e-09	14.6026814596712
P2RY13|53829	1.58550400356424	5.51572705572206	6.98854924655491	5.71843600963069e-11	6.4319554690346e-09	14.5954743097694
FAM26F|441168	1.46520506845113	7.30264280905499	6.9747651593144	6.17371970953397e-11	6.90525376003238e-09	14.5215962759862
COL10A1|1300	-2.35283106661871	8.1081069551747	-6.97017819029257	6.33301464986417e-11	7.04407146138504e-09	14.4970295395071
DACT1|51339	-1.72639000907077	6.60156103807171	-6.96856144557594	6.39012132774376e-11	7.06832149738993e-09	14.4883727613182
AKNA|80709	0.907234677414193	9.42219933955988	6.94573416340185	7.25276963855179e-11	7.97844510623327e-09	14.36626398275
CTLA4|1493	1.28056004793479	6.47597013489104	6.92989899860386	7.91767226096277e-11	8.66227958124238e-09	14.2816884976845
JAK2|3717	1.04556940700281	8.59080244919724	6.92710581725902	8.04103823053190e-11	8.74943621812387e-09	14.2667812872241
GALNTL2|117248	-1.71573122495175	6.37054434225208	-6.91952696495879	8.38540258643314e-11	9.07481865853935e-09	14.2263498262734
POSTN|10631	-1.986091977284	11.9141054028816	-6.91364488116939	8.66265729723276e-11	9.32446568537081e-09	14.1949872642889
INPP5D|3635	1.19984489266098	8.79425815104297	6.91242017341832	8.72151149291935e-11	9.33761398929082e-09	14.1884591436587
IL21R|50615	1.36710918304313	6.93453605477701	6.9085667188628	8.90927602268324e-11	9.48790506649687e-09	14.1679230991771
SPARC|6678	-1.31431024303361	14.4872935382156	-6.89666038446956	9.51497405261983e-11	1.00262787109211e-08	14.1045116819172
CAMSAP1L1|23271	-0.62550854974141	10.54525675839	-6.87572968635578	1.06797250793482e-10	1.11947003043785e-08	13.9931865312002
FTO|79068	-0.589219092027978	9.63540404895665	-6.87400319052354	1.07818512015099e-10	1.12428876513245e-08	13.9840122198086
SATB2|23314	-0.961200826662574	6.73613991110209	-6.85646788118076	1.18752215944483e-10	1.2318850338987e-08	13.8909060368634
ITGA11|22801	-1.72889982095578	8.07791146900196	-6.85292879292466	1.2108798677042e-10	1.24964050676834e-08	13.8721310186806
ZHX3|23051	-0.615626650078044	9.33372091701555	-6.8441221976122	1.27098649471307e-10	1.30494464670002e-08	13.8254354149227
LAMC1|3915	-0.729509669085459	12.26870259506	-6.8388758628406	1.30818172330684e-10	1.33628093277175e-08	13.797633681202
ADAMTS4|9507	-1.2417622838712	8.82395917581207	-6.8374612198707	1.3183935310409e-10	1.33987598400863e-08	13.7901391746488
BATF|10538	1.23395740746065	6.80318027086868	6.82610328583457	1.40328121478723e-10	1.41373576149394e-08	13.729998870137
ABL2|27	-0.633007844728487	10.0643962359316	-6.82528505801609	1.40960048206131e-10	1.41373576149394e-08	13.7256685402011
TMEM184B|25829	-0.513613149770741	11.190734112427	-6.82494269637071	1.41225289595318e-10	1.41373576149394e-08	13.7238567375139
EML1|2009	-1.28951494312827	8.12648889978167	-6.82223968205629	1.43336770085282e-10	1.42773406660569e-08	13.7095540009271
LOC115110|115110	1.16878628789316	4.93992070182602	6.81368585794288	1.50225797097971e-10	1.48786767468733e-08	13.6643134837154
GOLGA2B|55592	1.39491815250031	5.39393877387037	6.81291772685085	1.50860165806667e-10	1.48786767468733e-08	13.6602524762002
ITGB5|3693	-0.77512034801132	11.8523480669241	-6.79993003273777	1.61994679661782e-10	1.58209535683343e-08	13.5916277140815
SUSD3|203328	1.22196226811824	6.02220111623477	6.7917766089222	1.69394500616102e-10	1.64633363924028e-08	13.5485845503749
IRF8|3394	1.34981064325697	7.89022457909634	6.78211914936375	1.78591156466333e-10	1.71902574212137e-08	13.4976395043836
BIN2|51411	1.1956719152159	7.03452546265076	6.76751505075589	1.93440577712449e-10	1.85304966812485e-08	13.4206787304232
HLA-DOB|3112	1.15506873686832	6.36483300723324	6.76479429711285	1.96338479155532e-10	1.87185366246328e-08	13.4063513894965
ICOS|29851	1.39627571342251	6.19632329698238	6.75993087658924	2.01625506806249e-10	1.91314894396584e-08	13.3807491154076
GLT8D2|83468	-1.19330127429489	7.30267888518048	-6.75830859731832	2.03420095559512e-10	1.91735752965404e-08	13.37221137813
PLA2R1|22925	-1.28108239816129	7.97575132683808	-6.75649087711091	2.05449583502039e-10	1.92210565948333e-08	13.3626464714356
CST7|8530	1.20049818198136	7.17450659835707	6.75533423496032	2.06751348579303e-10	1.92528779065406e-08	13.3565609497335
ATRN|8455	-0.575266135756241	10.6705805755343	-6.74755884998899	2.15715707438421e-10	1.9994648975114e-08	13.3156673211345
NCF1C|654817	1.33139826408467	5.09727347746744	6.74287065113213	2.21304721569758e-10	2.04181651177333e-08	13.2910234399251
LGALS9|3965	1.10727327368835	10.0110330900715	6.73701804265442	2.28482426270897e-10	2.09837002585763e-08	13.2602725920239
MAP4K5|11183	-0.559106336849979	9.8748181828576	-6.72588802878659	2.42770835375255e-10	2.21002544985497e-08	13.2018356214627
INHBB|3625	-1.49550690237341	6.99521126929292	-6.72582983473331	2.42847809284298e-10	2.21002544985497e-08	13.2015302262333
NKD1|85407	-1.34573558810056	4.89606766474343	-6.71010036873463	2.64559613362358e-10	2.38803363874812e-08	13.1190399367727
NLRC3|197358	1.22651611023923	6.51115361499472	6.70993780519273	2.647937005155e-10	2.38803363874812e-08	13.1181879856397
CXCL9|4283	2.1027004893466	10.7611201682725	6.70375502570871	2.73849783642359e-10	2.45014911310503e-08	13.0857946020619
ARHGDIB|397	0.802698840355056	11.0699055811893	6.70356770542209	2.74128865359136e-10	2.45014911310503e-08	13.0848134465759
KDELR2|11014	-0.450592791032888	12.3508454295879	-6.6987666126875	2.81378218946614e-10	2.50376592068007e-08	13.0596714706771
RLTPR|146206	1.31409167849085	5.72606995447221	6.69184221727891	2.92167286836127e-10	2.58826603971067e-08	13.023428765048
HMGN2|3151	0.684921520739795	12.5223469551788	6.69012164290061	2.94910738760277e-10	2.60106074921564e-08	13.0144265507744
TTYH3|80727	-0.710201930204837	11.5572847309327	-6.68837961075141	2.97714250035433e-10	2.61427061401728e-08	13.0053134376781
GIMAP7|168537	1.22334732146214	6.86615087206371	6.67986344877531	3.11801876491152e-10	2.72601981189055e-08	12.9607826053962
GBP2|2634	0.987952523663562	11.0827304747482	6.67845793445981	3.1418919189646e-10	2.73494861346045e-08	12.9534363744384
SPN|6693	1.32084245030932	7.66928961111741	6.67533478486635	3.19558597290078e-10	2.76964618023578e-08	12.9371157657859
ODF3B|440836	0.776243507072017	7.83223740487543	6.668266769078	3.3204602526455e-10	2.86547132406101e-08	12.900196939019
ATG7|10533	0.497087228073379	9.53207443971483	6.6666934862454	3.34890341267393e-10	2.87761352897617e-08	12.8919822115233
VCAN|1462	-1.62036298980158	10.9230356803579	-6.66335646567306	3.41002943551763e-10	2.91761535591874e-08	12.874562060207
SPON2|10417	-1.24625401540628	10.3492067996636	-6.65996347419311	3.47330694109354e-10	2.94787973187277e-08	12.8568549458826
CRISPLD2|83716	-1.18422269202297	9.91167303096856	-6.65988152350654	3.47484949164364e-10	2.94787973187277e-08	12.8564273323221
DEF6|50619	0.524624109729046	9.71674019328316	6.64900561210144	3.68566568808937e-10	3.11353218317457e-08	12.7997047963845
GOLGA5|9950	-0.431700404568931	10.2174243420822	-6.64479388315861	3.77064487396339e-10	3.1586644778921e-08	12.7777533943627
RAB33A|9363	0.981232992201113	4.25090001078109	6.6406434468712	3.85627374276399e-10	3.21693569182825e-08	12.7561294164704
ITK|3702	1.49434041033501	6.35019905517805	6.634935925973	3.97716145745926e-10	3.3040145037258e-08	12.7264058834396
