logFC	AveExpr	t	P.Value	adj.P.Val	B
APCDD1L	-2.61115172185952	5.53457460220932	-8.40814686619512	1.46766679637323e-14	9.47876030006077e-12	22.5858456546152
COL11A1	-3.04839779946299	8.78207157690478	-8.2432953554711	3.96745685744787e-14	1.80528303961281e-11	21.6234553860063
COL5A2	-1.65407261165026	12.3410551168083	-7.99736019373531	1.7227086883228e-13	5.22581070438041e-11	20.202927675336
COL1A1	-1.87921470943554	16.0948295743206	-7.97973495107328	1.91247828240432e-13	5.63084230764953e-11	20.101854740304
COL12A1	-1.7522518316823	12.3792244304407	-7.89202142018025	3.21222324732323e-13	8.69080022089978e-11	19.6003616695898
COL5A1	-1.68115161917732	12.9407506455754	-7.88586580248042	3.33096011551795e-13	8.89188699637132e-11	19.5652627096921
LOXL2	-1.26626599353036	10.4480142688175	-7.82890296021632	4.65783258724506e-13	1.16568082786542e-10	19.2410647712874
P4HA3	-1.86211405710166	5.81004246949495	-7.62831641229654	1.50356018967461e-12	3.28806758562231e-10	18.1083000455606
KIF26B	-1.38558481667796	8.03590588816263	-7.57724921075718	2.02168193022546e-12	4.17279318814886e-10	17.8221769667979
SPOCK1	-2.11194340662661	7.74200558756956	-7.50148961722072	3.13133868029252e-12	5.97071730648919e-10	17.3994521151352
C14orf37	-1.46104249466085	5.42662087039363	-7.49248446752807	3.29803990278813e-12	6.22925065035105e-10	17.3493454818693
MAP1A	-1.45213719553445	7.83342727019866	-7.4431782308831	4.37887043887532e-12	7.82762188006454e-10	17.075530283534
INHBA	-2.31690368583025	8.94036445107496	-7.4385250641577	4.49738149723482e-12	7.96832521735738e-10	17.0497366149374
COL3A1	-1.81341494619581	15.3627491970044	-7.43082954646266	4.70037458319414e-12	8.18314778522868e-10	17.0070963323469
GLI2	-1.97807891138155	6.3792695710128	-7.41696171643997	5.08930786211464e-12	8.51811020527094e-10	16.930312190271
MMP2	-1.46488902580428	12.4080483699798	-7.41640715881002	5.10550534255288e-12	8.51811020527094e-10	16.9272431989381
ZNF469	-1.51521931563408	8.403674507172	-7.38708849970773	6.03846336405476e-12	9.90951434522461e-10	16.7651563960246
COL1A2	-1.73595232648834	15.2169537572616	-7.3365956633633	8.05606263308401e-12	1.27000338564547e-09	16.4867799241194
ADAMTS14	-1.33643110564416	7.25383657650496	-7.31389237340503	9.16806180601391e-12	1.4119520416785e-09	16.3619331420325
COL6A3	-1.52501124675012	13.4090559188862	-7.18124844062923	1.94366923878781e-11	2.64722461427012e-09	15.6365648251046
COL6A1	-1.36868385676163	13.4354200281143	-7.16554452784602	2.12353497474215e-11	2.8343529152875e-09	15.5511519359662
BGN	-1.36149227437788	13.0116570710236	-7.11252465305201	2.86097698597149e-11	3.60249183875064e-09	15.2635183408895
HEPH	-1.31596776435823	7.42575164969935	-7.06696641095654	3.69280488309246e-11	4.42716446493378e-09	15.0172841111827
COL5A3	-1.26579898467667	10.5349830315093	-7.06044546199237	3.82993656286788e-11	4.56423570983202e-09	14.9821097149262
COL10A1	-2.35283106661871	8.1081069551747	-6.97017819029257	6.33301464986417e-11	7.04407146138504e-09	14.4970295395071
DACT1	-1.72639000907077	6.60156103807171	-6.96856144557594	6.39012132774376e-11	7.06832149738993e-09	14.4883727613182
GALNTL2	-1.71573122495175	6.37054434225208	-6.91952696495879	8.38540258643314e-11	9.07481865853935e-09	14.2263498262734
POSTN	-1.986091977284	11.9141054028816	-6.91364488116939	8.66265729723276e-11	9.32446568537081e-09	14.1949872642889
SPARC	-1.31431024303361	14.4872935382156	-6.89666038446956	9.51497405261983e-11	1.00262787109211e-08	14.1045116819172
ITGA11	-1.72889982095578	8.07791146900196	-6.85292879292466	1.2108798677042e-10	1.24964050676834e-08	13.8721310186806
ADAMTS4	-1.2417622838712	8.82395917581207	-6.8374612198707	1.3183935310409e-10	1.33987598400863e-08	13.7901391746488
EML1	-1.28951494312827	8.12648889978167	-6.82223968205629	1.43336770085282e-10	1.42773406660569e-08	13.7095540009271
PLA2R1	-1.28108239816129	7.97575132683808	-6.75649087711091	2.05449583502039e-10	1.92210565948333e-08	13.3626464714356
INHBB	-1.49550690237341	6.99521126929292	-6.72582983473331	2.42847809284298e-10	2.21002544985497e-08	13.2015302262333
NKD1	-1.34573558810056	4.89606766474343	-6.71010036873463	2.64559613362358e-10	2.38803363874812e-08	13.1190399367727
VCAN	-1.62036298980158	10.9230356803579	-6.66335646567306	3.41002943551763e-10	2.91761535591874e-08	12.874562060207
SPON2	-1.24625401540628	10.3492067996636	-6.65996347419311	3.47330694109354e-10	2.94787973187277e-08	12.8568549458826
SULF1	-1.48626503372401	10.828542694488	-6.62925395616332	4.10121203452438e-10	3.3651789402956e-08	12.6968303077353
SPON1	-1.75597740072387	7.75517527052055	-6.62755813715512	4.13896830688143e-10	3.38229732539074e-08	12.6880061765363
FAP	-1.4566634665335	8.91256028306983	-6.62586037463637	4.17711058889689e-10	3.38801355361841e-08	12.6791732605239
MSX2	-1.74571669849185	5.88049160226742	-6.62574089048699	4.17980794038133e-10	3.38801355361841e-08	12.6785516727335
KIRREL	-1.74902177194301	8.15650480081541	-6.6217079618827	4.27186379918536e-10	3.44866875497944e-08	12.6575751867877
CTHRC1	-1.42802065875037	9.48924511294111	-6.61379772300276	4.45825762230015e-10	3.58468979341652e-08	12.6164534477287
NTM	-1.28489772998935	7.07873330318708	-6.57556028189382	5.47834117182672e-10	4.22845085562861e-08	12.418083395795
CTSK	-1.23903821532586	10.6360482669284	-6.54919359844489	6.31224061475902e-10	4.69939142602005e-08	12.2816941038112
MMP9	-1.29956074113233	11.8272669520108	-6.50551285573483	7.97662162566298e-10	5.7035693416928e-08	12.0564620075917
GREM1	-1.49625375675008	9.73082101980023	-6.50412689473755	8.03595557544895e-10	5.71264819550359e-08	12.0493303037364
SGCD	-1.80237751214199	6.31441850831012	-6.49604137177029	8.39085699664007e-10	5.9152587299201e-08	12.0077430077619
NID1	-1.26544173238384	10.5306343261728	-6.48079226553621	9.10264878413464e-10	6.3113434985747e-08	11.9293949364767
MMP13	-2.92395328289079	9.02323601435153	-6.48063428025788	9.11032551365111e-10	6.3113434985747e-08	11.9285838068251
AEBP1	-1.27282363896323	12.4787052944558	-6.47750889895403	9.26350795477528e-10	6.39533423319158e-08	11.9125398890498
ATP2C2	-1.61364338122041	7.47112898473616	-6.47111624638695	9.58475960322424e-10	6.57179698685454e-08	11.879738193011
PMEPA1	-1.20761650054264	11.2345518956606	-6.47023354051907	9.62997075750875e-10	6.58026090566835e-08	11.8752104255829
FLNC	-1.93029394294293	8.60354593848171	-6.46439791975628	9.93418598351929e-10	6.76504549578366e-08	11.8452864603679
KCNE4	-1.24657761295977	6.55307850366813	-6.45355568969947	1.0524697710212e-09	7.14288043580184e-08	11.7897328340771
OLFM2	-1.29191466809311	8.59317930640707	-6.43069637729935	1.18851019325805e-09	7.93172085973979e-08	11.6727908315554
COL6A2	-1.23513343237091	13.7184184436865	-6.41336353655294	1.3030509400054e-09	8.49784458301238e-08	11.5842886636244
ADAMTS2	-1.47103604787326	8.86395349239092	-6.41201343782722	1.31241524063137e-09	8.53112517294824e-08	11.5774011050143
FNDC1	-1.88815860026554	8.61689650744299	-6.40422302335953	1.36775614238027e-09	8.80509508893744e-08	11.53767538377
LUM	-1.33908842348359	12.2402991189041	-6.39344225341303	1.44814048472989e-09	9.1715014517095e-08	11.4827494951821
IGF2	-1.37372545736742	10.1719604885603	-6.39291897125773	1.45215821397129e-09	9.1715014517095e-08	11.4800849133956
CNN1	-1.49050960480118	6.65634719357883	-6.39197491487479	1.45943435723308e-09	9.18847020948535e-08	11.4752780627582
B4GALNT1	-1.49121171438076	6.75631723463654	-6.39096850771094	1.46723052478954e-09	9.20859634382802e-08	11.4701542181891
CDH13	-1.29414050964458	9.36279105678214	-6.38430525547103	1.51989035510984e-09	9.50928899989189e-08	11.4362425450916
MMP16	-1.65358736154056	4.51956562076343	-6.37941046311251	1.559753304025e-09	9.63821632712484e-08	11.411344979051
SEMA3C	-1.37535135828404	10.3762694407552	-6.37197384748491	1.62229109159404e-09	9.90240547097692e-08	11.3735406947561
ODZ2	-2.36091926257312	10.7435805196038	-6.36261746895942	1.70448302622501e-09	1.03045519440801e-07	11.3260156246654
HSPA12A	-1.37653320682669	7.14021760795638	-6.36214265750307	1.70876142322292e-09	1.03045519440801e-07	11.3236049951831
GLI1	-1.63514148795245	4.87383886001367	-6.33657421924813	1.95542327175914e-09	1.16864266638477e-07	11.1939567494539
MME	-1.67738164119742	7.76004171860964	-6.33072420382682	2.01660034736183e-09	1.20161772483724e-07	11.1643386434636
SYT7	-1.66397161171976	8.33230680150728	-6.26367357180826	2.86715212288263e-09	1.64951875437451e-07	10.8260779089146
CDH11	-1.44848515568946	9.44084106343206	-6.25866727516344	2.94322573555603e-09	1.68843330806783e-07	10.8009117225154
CTGF	-1.2419886461367	11.183662781599	-6.23875764027337	3.26587500966902e-09	1.84186150897418e-07	10.70095223879
SCARF2	-1.20483207995139	7.32407333066036	-6.21746321980973	3.64942047710284e-09	2.00178211978291e-07	10.5942609795134
LRRC15	-1.77938905666255	9.27147817604288	-6.21327323135576	3.72993530648421e-09	2.02376787997616e-07	10.5732948692138
SLC7A8	-1.29481404714478	11.4390992134654	-6.18870132892503	4.2384278263879e-09	2.26286836032299e-07	10.4505195867325
PXDN	-1.29878224925434	10.7735347453905	-6.18614124774381	4.29516709312339e-09	2.28099576582025e-07	10.4377455933904
CREB3L1	-1.45291678761503	7.9901125199211	-6.17537004237362	4.54216844621259e-09	2.36995185267276e-07	10.3840372538363
SFRP2	-1.81472659085854	10.8672152225711	-6.17085711253129	4.64975378333836e-09	2.40829342581094e-07	10.361552067027
SLC24A3	-1.58830391859318	7.91555268058367	-6.13524421905569	5.59117914631398e-09	2.76397525156425e-07	10.184480287078
THBS2	-1.4955506547081	11.4985626894472	-6.1011597854335	6.66623896988122e-09	3.22378672502396e-07	10.0156192486211
MLLT11	-1.34590150351687	7.24791287838546	-6.09766015888883	6.78747935733205e-09	3.27450901718422e-07	9.99831541340053
FIBIN	-1.63660952364534	6.14362761465549	-6.09003365342836	7.05923195861212e-09	3.36964119335334e-07	9.96062831563967
COL8A1	-1.76712115341039	7.34429316217728	-6.08778778888036	7.14127249047603e-09	3.3800334877499e-07	9.94953592018243
ADAMTS12	-1.84804958045692	6.66320765416901	-6.08637538572283	7.19334523559282e-09	3.39665011702367e-07	9.94256135924661
SLC29A4	-1.51511795234436	5.79230854357739	-6.07553880753193	7.60545330582793e-09	3.55768179056031e-07	9.88908398570522
DCN	-1.22117066724295	12.0200189436135	-6.05326777443037	8.52642177519999e-09	3.92431012324779e-07	9.77937103112463
FBN1	-1.37964551082254	10.9301353637762	-6.04739197591403	8.78709897974871e-09	4.03501166682452e-07	9.75046854546478
BAALC	-1.72765537575294	4.70454719435481	-6.02972686293732	9.61876567050528e-09	4.32757994357722e-07	9.66368463464105
C4orf31	-1.6937474386502	3.34410249927858	-5.9586678068115	1.38164128650437e-08	5.9487828380869e-07	9.31625536401423
CSMD2	-1.73151101551943	4.67250311439156	-5.93241922082784	1.57835119872417e-08	6.6807969026758e-07	9.18859784342935
CLSTN2	-1.76921057159587	4.99068955490307	-5.92982315833831	1.59923601259907e-08	6.75491649962993e-07	9.17599220546582
ADAM12	-1.29179504728481	9.74835717725449	-5.92903318192048	1.60564476686842e-08	6.76770818473106e-07	9.17215705431678
SERPINE1	-1.52864858070108	12.321740437089	-5.92071510157128	1.67467163052948e-08	6.98512514892305e-07	9.13179507559514
CNIH3	-1.20290914514167	4.45385366852553	-5.86558427305775	2.21150520708882e-08	8.82002903408869e-07	8.86522690183541
MATN3	-1.43697219657419	5.23338927485686	-5.855516720035	2.32629357064964e-08	9.14915282302076e-07	8.8167264076751
SESN3	-1.22995450910714	8.09214715811281	-5.84984021276067	2.39356657787564e-08	9.37800322028342e-07	8.78940416271717
ALDH1L2	-1.30121816168514	7.75370041977442	-5.80807661999416	2.95057348599717e-08	1.1230690449268e-06	8.5889292140022
HMCN1	-1.45424453207996	8.03340663689729	-5.72360290509536	4.49203005190403e-08	1.58895642525036e-06	8.18637981073755
MMP1	-2.24414593430844	12.2863843511045	-5.71910418458864	4.5932138241801e-08	1.61902700658292e-06	8.1650531667655
ZNF365	-1.30375539043909	6.25722056310037	-5.70815600676374	4.84885839001384e-08	1.70613345916462e-06	8.11319962213379
B4GALNT3	-1.36635163646345	8.95896344627648	-5.67237529987395	5.78519357867981e-08	1.97317479793439e-06	7.94420278937884
TRIM9	-1.31278232397405	4.78788227081326	-5.66925276241829	5.87482648679537e-08	1.99694229358455e-06	7.92948892988666
EEF1A2	-2.37814281467032	6.3134142341127	-5.66363200348595	6.03960377600611e-08	2.04254910809828e-06	7.9030169899157
COL4A6	-2.16177032467988	8.2316768680073	-5.64512288499844	6.61477430800125e-08	2.22205363121633e-06	7.81597171907582
FN1	-1.4999079749311	14.5071195999473	-5.64411750531912	6.64750388791104e-08	2.22519791306579e-06	7.81124915961386
ITGB3	-1.27041376429174	6.03093904366552	-5.62852152163105	7.17595441129125e-08	2.34371587713641e-06	7.73806401003753
GPC6	-1.55492362099095	6.79807191628653	-5.62155067156005	7.42522089935752e-08	2.40550724313976e-06	7.70539769875525
ATP6V0D2	-1.34300986542469	4.00176050830505	-5.59586798030283	8.41870380893524e-08	2.67966405339734e-06	7.58528509922006
C20orf103	-1.34869143727359	6.52488430665525	-5.53588920077648	1.12715448123402e-07	3.44005485804669e-06	7.30625500688022
GJA1	-1.26264554591526	12.8620194491202	-5.53420741255201	1.13638238539293e-07	3.45767655591972e-06	7.29846108339725
MAGED4B	-1.35859179519825	7.74878346355384	-5.52975886458006	1.16114830484366e-07	3.52767074526173e-06	7.27785306839469
DDN	-1.59580862127112	5.222793005308	-5.51169340952345	1.2672477885072e-07	3.80383327941569e-06	7.1942827284376
ANO1	-1.52994767640123	11.2707836341904	-5.50069091500631	1.33644051360777e-07	3.98167790519959e-06	7.14347872952147
HTRA3	-1.2014496447919	9.86934345051361	-5.4911682771989	1.39929167273182e-07	4.13814159228417e-06	7.09956510275386
TNC	-1.36264859711502	13.5464843576791	-5.48904194801258	1.41371476552422e-07	4.17462880834225e-06	7.08976679082859
GPR176	-1.33486211830476	6.98700351424474	-5.48107761734559	1.46903777379961e-07	4.32508320055781e-06	7.05309001050117
IL11	-1.57487863031431	6.50308325496005	-5.48090756360034	1.47024175831361e-07	4.32508320055781e-06	7.05230729656723
AHNAK2	-1.20758077230094	13.1655907265123	-5.47345781036248	1.52394145287794e-07	4.44764312362525e-06	7.01803465192617
NDRG4	-1.5132719311394	8.35576848610392	-5.46665608567156	1.57463753640961e-07	4.54918010338481e-06	6.98677175227819
MURC	-1.52864711288837	4.48147304248134	-5.42590594767281	1.91464385130506e-07	5.33276284949498e-06	6.80004249354231
MMP3	-2.45508868227941	9.49701457286352	-5.40285133730578	2.1376733593869e-07	5.79923554583809e-06	6.69483509304176
PTHLH	-1.72473509500892	10.684422282823	-5.34558211601013	2.80694866237909e-07	7.23267942979303e-06	6.43486553942023
LAMC2	-1.32628876204029	14.0982871609417	-5.31633060939949	3.22355684199599e-07	8.07745075514416e-06	6.30284082240108
JPH2	-1.54205756881352	5.65076313776303	-5.30687731112424	3.37063558908965e-07	8.37264207557865e-06	6.26028457745238
MFAP5	-1.81458618536016	7.54098072604967	-5.26166724135177	4.16930286954527e-07	9.86685729919218e-06	6.05751158079305
TCHH	-1.91394929273129	5.54453689535126	-5.21151086314358	5.27113882339102e-07	1.20233770682406e-05	5.83401612433217
SSC5D	-1.23562253931639	6.99329480645634	-5.18452574389723	5.97623429694854e-07	1.3392904812877e-05	5.71441230656605
PTH1R	-1.28903703334122	3.66064259108534	-5.18319592528789	6.01325481906347e-07	1.34330181016523e-05	5.70852991789136
