logFC	AveExpr	t	P.Value	adj.P.Val	B
KLRK1	2.15933521371027	5.79751086135956	10.0434739625928	5.32408062448516e-19	5.32967090914087e-15	32.4885427237667
CD3D	1.99446294035756	7.12618448560837	9.86936182116422	1.62232942339922e-18	1.08268857952919e-14	31.4091119354963
SIRPG	2.11231022650928	5.88932031856314	9.53268619348154	1.3783554058633e-17	5.51921071615781e-14	29.3362951422927
CD8A	2.25779554865249	7.83185345218645	9.4730068110414	2.00962636985675e-17	5.74910587229592e-14	28.971021685126
NKG7	2.27324495179125	7.31464829997919	9.45390582712366	2.26705477999858e-17	5.74910587229592e-14	28.8542573796878
PTPRCAP	2.00142407222166	7.83604231516857	9.45180971806568	2.29723025714836e-17	5.74910587229592e-14	28.8414481976912
CD2	1.84965732434927	8.12517454125703	9.39266969454701	3.33477564235555e-17	6.86952815726749e-14	28.4804043399259
TBC1D10C	1.85227897190114	6.84168678391234	9.38814374010194	3.43116135920658e-17	6.86952815726749e-14	28.4528024885995
SEPT1	1.66569044101362	6.95105828263431	9.35964711900882	4.10499373604282e-17	7.13206697499447e-14	28.2791085220005
PDCD1	1.96724580543515	5.84978641175433	9.3532033868986	4.27475169571618e-17	7.13206697499447e-14	28.2398551480906
ARHGAP9	1.35089855321334	7.58758033796369	8.84255505524228	1.03014337462894e-15	1.1937398840458e-12	25.1577770964733
CD8B	2.33844073749067	5.70248592199964	8.83591378063695	1.07323899469679e-15	1.1937398840458e-12	25.1180903338852
CORO1A	1.35942299026906	10.2692322494101	8.82053191411993	1.18005409205977e-15	1.24346647248046e-12	25.0262134790409
ZAP70	1.75434012845567	6.72428759474858	8.78952051482227	1.42855903000539e-15	1.37239666545161e-12	24.8411587132077
CD3E	1.70461901504825	8.35835615699737	8.78597418946644	1.46009994104989e-15	1.37239666545161e-12	24.8200119483073
CXCR3	2.15180272383698	6.02424294703441	8.78072577153996	1.50805287647647e-15	1.37239666545161e-12	24.7887213713615
UBD	2.44157924140138	9.27934650689097	8.66302139429465	3.10704177538672e-15	2.4882433354007e-12	24.0888171230344
GPR18	2.06995643162393	3.24288726035636	8.61138148901901	4.2616812723234e-15	3.28165849050718e-12	23.7828842576195
RASAL3	1.40804693923867	7.47629365247233	8.47512555612771	9.77653703205739e-15	6.99057313995789e-12	22.979087988753
C5orf56	1.23946176741661	5.82859169883398	8.43078794801743	1.27951495884944e-14	8.55382162804753e-12	22.7186339175608
ETV7	1.56779596411861	8.24780462982684	8.43050298011074	1.2817274304052e-14	8.55382162804753e-12	22.7169617024723
CXCR6	1.7396455867742	6.94422377780896	8.38202840313702	1.71902389873757e-14	1.05828402688917e-11	22.4328435482013
CD247	1.60623184046058	6.85602939506892	8.37961158968711	1.74433709042218e-14	1.05828402688917e-11	22.4186956819326
