TCGA-BA-5149-01	TCGA-BA-5152-01	TCGA-BA-5153-01	TCGA-BA-5556-01	TCGA-BA-5558-01	TCGA-BA-5559-01	TCGA-BA-6872-01	TCGA-BA-A6D8-01	TCGA-BA-A6DD-01	TCGA-BA-A6DJ-01	TCGA-BB-4223-01	TCGA-BB-7866-01	TCGA-BB-A5HU-01	TCGA-BB-A6UM-01	TCGA-CN-4726-01	TCGA-CN-4728-01	TCGA-CN-4731-01	TCGA-CN-4734-01	TCGA-CN-4740-01	TCGA-CN-5358-01	TCGA-CN-5359-01	TCGA-CN-5364-01	TCGA-CN-5365-01	TCGA-CN-5369-01	TCGA-CN-5373-01	TCGA-CN-5374-01	TCGA-CN-6011-01	TCGA-CN-6013-01	TCGA-CN-6016-01	TCGA-CN-6018-01	TCGA-CN-6020-01	TCGA-CN-6994-01	TCGA-CN-6995-01	TCGA-CN-A499-01	TCGA-CN-A63V-01	TCGA-CN-A642-01	TCGA-CN-A6V1-01	TCGA-CQ-5324-01	TCGA-CQ-5326-01	TCGA-CQ-5331-01	TCGA-CQ-5332-01	TCGA-CQ-5334-01	TCGA-CQ-6218-01	TCGA-CQ-6220-01	TCGA-CQ-6223-01	TCGA-CQ-6227-01	TCGA-CQ-6228-01	TCGA-CQ-7063-01	TCGA-CQ-7068-01	TCGA-CQ-7069-01	TCGA-CQ-7071-01	TCGA-CQ-7072-01	TCGA-CQ-A4C6-01	TCGA-CQ-A4C7-01	TCGA-CQ-A4CB-01	TCGA-CQ-A4CD-01	TCGA-CQ-A4CI-01	TCGA-CR-5243-01	TCGA-CR-5247-01	TCGA-CR-5248-01	TCGA-CR-5249-01	TCGA-CR-6467-01	TCGA-CR-6470-01	TCGA-CR-6471-01	TCGA-CR-6478-01	TCGA-CR-6480-01	TCGA-CR-6481-01	TCGA-CR-6482-01	TCGA-CR-6484-01	TCGA-CR-6487-01	TCGA-CR-6492-01	TCGA-CR-7365-01	TCGA-CR-7367-01	TCGA-CR-7369-01	TCGA-CR-7373-01	TCGA-CR-7376-01	TCGA-CR-7377-01	TCGA-CR-7379-01	TCGA-CR-7380-01	TCGA-CR-7383-01	TCGA-CR-7385-01	TCGA-CR-7386-01	TCGA-CR-7395-01	TCGA-CR-7404-01	TCGA-CV-5436-01	TCGA-CV-5966-01	TCGA-CV-6937-01	TCGA-CV-6938-01	TCGA-CV-6942-01	TCGA-CV-6948-01	TCGA-CV-6955-01	TCGA-CV-7090-01	TCGA-CV-7091-01	TCGA-CV-7095-01	TCGA-CV-7097-01	TCGA-CV-7099-01	TCGA-CV-7100-01	TCGA-CV-7102-01	TCGA-CV-7178-01	TCGA-CV-7235-01	TCGA-CV-7252-01	TCGA-CV-7254-01	TCGA-CV-7263-01	TCGA-CV-7407-01	TCGA-CV-7409-01	TCGA-CV-7413-01	TCGA-CV-7423-01	TCGA-CV-7425-01	TCGA-CV-7427-01	TCGA-CV-7428-01	TCGA-CV-7434-01	TCGA-CV-7435-01	TCGA-CV-A45X-01	TCGA-CV-A464-01	TCGA-CV-A468-01	TCGA-CV-A6JD-01	TCGA-CV-A6JE-01	TCGA-CV-A6JN-01	TCGA-CV-A6JZ-01	TCGA-CX-7082-01	TCGA-CX-7219-01	TCGA-CX-A4AQ-01	TCGA-D6-6516-01	TCGA-D6-A6EN-01	TCGA-DQ-7590-01	TCGA-DQ-7596-01	TCGA-F7-A624-01	TCGA-H7-7774-01	TCGA-H7-8501-01	TCGA-H7-A76A-01	TCGA-HD-7754-01	TCGA-HD-7832-01	TCGA-HD-A633-01	TCGA-HD-A6I0-01	TCGA-HL-7533-01	TCGA-IQ-7631-01	TCGA-KU-A6H7-01	TCGA-MT-A51W-01	TCGA-MT-A67D-01	TCGA-MT-A67F-01	TCGA-MT-A7BN-01	TCGA-MZ-A5BI-01	TCGA-P3-A5Q5-01	TCGA-P3-A5Q6-01	TCGA-P3-A6SW-01	TCGA-P3-A6SX-01	TCGA-P3-A6T0-01	TCGA-P3-A6T5-01	TCGA-P3-A6T7-01	TCGA-P3-A6T8-01	TCGA-QK-A64Z-01	TCGA-QK-A6IF-01	TCGA-QK-A6IG-01	TCGA-QK-A6IH-01	TCGA-QK-A6IJ-01	TCGA-QK-A6V9-01	TCGA-QK-A6VB-01	TCGA-QK-A8Z7-01	TCGA-QK-A8Z9-01	TCGA-RS-A6TO-01	TCGA-RS-A6TP-01	TCGA-T2-A6X0-01	TCGA-T2-A6X2-01	TCGA-T3-A92N-01	TCGA-TN-A7HI-01	TCGA-UF-A71A-01	TCGA-UF-A71B-01	TCGA-UF-A7JA-01	TCGA-UF-A7JC-01	TCGA-UF-A7JD-01	TCGA-UF-A7JO-01	TCGA-UF-A7JT-01	TCGA-WA-A7GZ-01
B cells naive	0.002284605	0.0	0.0	0.060200085	0.012237686999999999	0.011635315	0.0	0.0017682479999999998	0.004078567	0.006844957	0.060049782	0.026283754	0.0	0.001993869	0.002465663	0.0036912959999999997	0.0	0.013852221999999999	0.0	0.0	0.020390086	0.001298168	0.007758586	0.0	0.008252314	0.039567179	0.00509319	0.011936986	0.0	0.0	0.004608058	0.0	0.0017085429999999999	0.004845352	0.002334708	0.042092378	0.171047262	0.0	0.0	0.033189976	0.033412979	0.015731218999999998	0.0006	0.003133077	0.018900138	0.03847219	0.028535687	0.011644769	0.013195377	0.011188924	0.0	0.05957946	0.014032383	0.0013064069999999999	0.018189067	0.031269528	0.034821793999999996	0.067887894	0.04489664	0.00867377	0.130115396	0.048830291	0.03461293	0.02393043	0.021801577000000003	0.0	0.055024171	0.073035762	0.00224795	0.036223546	0.034883129	0.0	0.0038602159999999996	0.031370672999999995	0.0036731579999999997	0.009402361	0.032715383	0.0007	0.0	0.002435872	0.0	0.008050034000000001	0.00313811	0.006466698000000001	0.0046765290000000004	0.0018520370000000002	0.020871194	0.0028036090000000003	0.010549366999999999	0.004828807	0.002048209	0.002772422	0.009229108	0.0	0.0	0.004116483	0.0020460020000000003	0.007006758	0.0	0.012618741000000001	0.002485667	0.112332747	0.012425476000000001	0.0	0.010731558	0.003198872	0.0008	0.009550605	0.005971351	0.010682965	0.0026434040000000002	0.001349816	0.0	0.00838943	0.010059804	0.0	0.009214640999999999	0.019128803	0.013817737	0.0	0.0	0.194170695	0.014923157	0.030857883	0.0	0.091512635	0.015032078999999999	0.0	0.003805905	0.018057421	0.0	0.011580543	0.0	0.016396796	0.004807703	0.058633397000000004	0.011598125	0.004063710999999999	0.028124185	0.013328045	0.021256995	0.001554709	0.0	0.002601838	0.0	0.0	0.04167296	0.0009	0.0005	0.032477828	0.029694829	0.072073243	0.008189025	0.003678075	0.017027525	0.016564298999999998	0.031691905	0.040142436000000004	0.007636637	0.01164808	0.021114234	0.004995547	0.008575635	0.0	0.0	0.004124967	0.0	0.069709784	0.0	0.081459318	0.01807433	0.022962382000000003	0.0
B cells memory	0.0	0.024302025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026638547000000002	0.068286652	0.0	0.0	0.0	0.008756734	0.0	0.0	0.0	0.026281991	0.0	0.003702338	0.0	0.0	0.0	0.111073097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04273975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06756808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002237387	0.076237704	0.052361026	0.049530900999999995	0.0	0.0	0.004298421	0.031431221	0.07706559	0.014794533	0.00304486	0.0	0.0	0.013438843999999998	0.0	0.0	0.0	0.0	0.0	0.01198828	0.004401411	0.081708245	0.0	0.0	0.048770482000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006	0.0009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005337677	0.0	0.0	0.0	0.0	0.16448763	0.0	0.0	0.0	0.052294083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014346093	0.0	0.0	0.022569556	0.005043243	0.0	0.017845791	0.0027576379999999998	0.0	0.0	0.0	0.0	0.0	0.21975541899999998	0.0	0.0	0.0	0.027532587	0.0	0.0	0.0	0.0	0.0	0.001429034	0.0	0.0	0.050226558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Plasma cells	0.016104265	0.0	0.054700492999999996	0.010501641	0.0	0.019581071999999998	0.0	0.010533438999999999	0.15189918300000002	0.019521059	0.021177862999999998	0.022372526	0.024132123	0.063875531	0.009193688	0.0	0.33196830899999996	0.016751391	0.0	0.031572895	0.0	0.005444411	0.008876034	0.034133519	0.0	0.0	0.025554597999999998	0.0035658820000000003	0.0	0.029833673999999998	0.0	0.040778787000000004	0.026530896	0.006156857	0.034908123	0.028955184	0.0	0.052432146	0.0	0.012892876999999999	0.064043719	0.0	0.0207393	0.009250555	0.017256061	0.010954486000000001	0.021979143	0.0002	0.0	0.014239156999999999	0.030264423999999998	0.102232915	0.050361334	0.018570707	0.008738944	0.0	0.041026935	0.065200229	0.181953781	0.058550222	0.041292737	0.038164832	0.031810027000000005	0.014017033	0.033048605	0.092452782	0.0	0.028600543	0.01306021	0.021232873	0.07444667599999999	0.005462819	0.031244489	0.136801101	0.009454882	0.006642938	0.015921776999999998	0.09374824	0.013780803999999999	0.014493282	0.013445378999999999	0.008729369	0.024105123	0.025808973	0.023177238	0.003257711	0.0	0.0	0.08327427700000001	0.007901618000000001	0.0007	0.0	0.0	0.077449741	0.0002	0.015417756000000001	0.07789494200000001	0.0	0.003785109	0.001068655	0.10020869800000001	0.0	0.03023989	0.0	0.017805421999999998	0.006761621	0.0	0.010911601000000002	0.0005	0.065453925	0.0008	0.031176682	0.0045371890000000005	0.01120477	0.037545161	0.0	0.030135914	0.013300995	0.0	0.07480497900000001	0.002166222	0.0	0.00766859	0.0	0.0	0.035393535	0.015131918000000001	0.072769978	0.013577205	0.035326107999999995	0.114752563	0.0028790870000000002	0.033665387000000005	0.012199255	0.012947823	0.033561237	0.015707066000000002	0.004298022	0.10978467	0.0	0.026098405	0.045659500000000006	0.005068272	0.061986159000000006	0.10754232	0.032558132000000004	0.133610024	0.014088245	0.007598573000000001	0.043596385999999994	0.006798104	0.036636781	0.078340569	0.0	0.017402723999999998	0.0	0.054815064000000004	0.040876654	0.0	0.006008526	0.012505732	0.081639788	0.114941943	0.0	0.06605696900000001	0.034223384	0.126419635	0.12364563699999999	0.051388563	0.032930977	0.0	0.038624808	0.0
T cells CD8	0.073118984	0.034399988	0.132823517	0.09732715199999999	0.005443384	0.157709668	0.014277682	0.012821586000000001	0.094598987	0.0	0.21087747399999998	0.083716271	0.0	0.167790222	0.0	0.01627806	0.019651874	0.095256544	0.028276628999999998	0.018871621	0.032416829	0.0	0.050996069000000005	0.040456082000000004	0.008918007	0.09290669300000001	0.024563912	0.045271105	0.0	0.0	0.001869861	0.0	0.116475983	0.079123501	0.0	0.168217051	0.127647288	0.039391767	0.0	0.0	0.0	0.08767357	0.009861086	0.03423534	0.053965948	0.0020100820000000003	0.0	0.094908246	0.148283851	0.028275907000000003	0.028278807000000003	0.0	0.048595926	0.0	0.018250106999999998	0.048335079	0.011356	0.11497172900000001	0.0	0.159649347	0.088432916	0.200902634	0.166018336	0.158804881	0.011792618000000001	0.059281492000000005	0.114312625	0.078636764	0.046110872000000004	0.22680126399999997	0.010189516	0.0	0.041179178	0.028532137000000003	0.0	0.008174717	0.045773706	0.0	0.0	0.049802214000000004	0.074355836	0.0	0.005562679	0.021433362999999997	0.07288997900000001	0.0	0.0	0.070118838	0.044203763	0.0	0.059589658	0.0	0.1126923	0.050085559	0.0	0.0	0.031174288999999997	0.001287123	0.038068204	0.0	0.064642304	0.036914183999999996	0.0	0.053059275999999995	0.030107201	0.0	0.0026425140000000003	0.063616046	0.014511401	0.080062909	0.07142786799999999	0.0	0.0	0.0	0.171030923	0.126488065	0.200707143	0.105886996	0.21993244399999998	0.069473714	0.012167785	0.108998879	0.052964955	0.279769806	0.138443288	0.074466567	0.348719871	0.13570232599999998	0.10467974599999999	0.082991781	0.028453201	0.06593194	0.0	0.154285308	0.086401525	0.003863927	0.210819535	0.061650580999999996	0.0	0.155875332	0.090875355	0.084377058	0.24896695300000002	0.031001794	0.194072505	0.0	0.0	0.0	0.047077943	0.0	0.06506181400000001	0.12441401	0.142668651	0.04431751900000001	0.05349443	0.185836222	0.0	0.0	0.05922602	0.062366255999999995	0.021319927000000002	0.150160964	0.076910785	0.080210185	0.159977743	0.0	0.018164235	0.0	0.0	0.0	0.036375686000000004	0.157701868	0.0
T cells CD4 naive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.066767198	0.0	0.015544661000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.01251083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027072992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.048622939000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.033161682000000005	0.0	0.0	0.0	0.0
T cells CD4 memory resting	0.214039507	0.151825435	0.227186307	0.18833084	0.15541253300000002	0.10200998900000001	0.087744431	0.025477684	0.028339694	0.140066899	0.021160485	0.07679140400000001	0.185445285	0.0	0.17142681699999998	0.0	0.054014235	0.12082688	0.06109532	0.16811753699999998	0.22755915699999998	0.08376659	0.051148509	0.107960477	0.18630843800000002	0.118617945	0.301083337	0.004816202	0.134894743	0.13019854	0.08464379400000001	0.066260188	0.11817385400000001	0.042643872	0.093120391	0.06483897200000001	0.13439541	0.065532744	0.016150041	0.13786295099999998	0.098703115	0.159781308	0.208567358	0.031153141000000002	0.035211769	0.09977688300000001	0.035987121000000004	0.11340982	0.061967727	0.029525258999999998	0.122682581	0.0	0.09552942699999999	0.17481076199999998	0.187111556	0.0688847	0.059587876	0.220453588	0.046790415999999994	0.068137864	0.155761502	0.057586102	0.14918425	0.133508996	0.228802654	0.127452683	0.09262813	0.076933764	0.09476007	0.09046841800000001	0.123022	0.24055226300000002	0.170622269	0.187917083	0.133877318	0.19750241	0.259711032	0.149224246	0.26072353	0.13699604	0.152334851	0.22172583899999998	0.188974134	0.14300866	0.106871575	0.18270807	0.0	0.047692538	0.112168491	0.144110619	0.18712633399999998	0.127566617	0.115787091	0.194813185	0.10889285300000001	0.172998795	0.182798415	0.093592102	0.155428265	0.189748997	0.157382405	0.12913259	0.027675343999999998	0.129276518	0.10070558800000001	0.04096959	0.119003236	0.08938391	0.176495672	0.0	0.19040584800000002	0.130892386	0.032369848	0.107172945	0.132068419	0.09773536199999999	0.0	0.0	0.030300648	0.10646674099999999	0.162880318	0.046895514000000006	0.11985322699999999	0.08575572699999999	0.065783565	0.125096405	0.0	0.09428436300000001	0.046930857	0.20952914	0.17587756300000001	0.09457327300000001	0.094641418	0.0	0.0	0.018639972	0.006597701	0.121570783	0.079580156	0.14283215300000002	0.0	0.094282604	0.125868316	0.111403252	0.12385687699999999	0.149195901	0.038857607	0.0	0.0	0.050922382999999995	0.16108093099999998	0.0	0.09528665800000001	0.0	0.079041795	0.043479742	0.041691072	0.073282856	0.15606393400000002	0.005486171999999999	0.117451507	0.0	0.056209809000000006	0.020048458	0.0	0.284866183	0.010223260999999999	0.041087065	0.009947885	0.0	0.0	0.054181875	0.23206621300000002
T cells CD4 memory activated	0.0	0.009203052	0.039619338	0.030916621000000002	0.0	0.054643101	0.0	0.0	0.012620127	0.0	0.025867207000000003	0.048073671	0.0	0.0	0.0	0.008134731999999999	0.0	0.022994796	0.0	0.004462972	0.017851649	0.0	0.002958575	0.02435366	0.050538791	0.0	0.0	0.002294674	0.0	0.002887775	0.0	0.0	0.0	0.055579552000000004	0.0	0.079562051	0.0	0.0	0.0	0.006125579	0.005863568	0.030671387	0.01997193	0.0036492020000000003	0.0	0.0	0.0	0.05288154900000001	0.050694877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025002378	0.0	0.042542370999999995	0.0	0.003100525	0.014534963	0.0	0.014725235	0.0	0.0093772	0.062069393	0.014416597	0.0	0.0	0.0	0.05535440900000001	0.011011745	0.0	0.0	0.0	0.002595875	0.032909448	0.0	0.066126747	0.017246566	0.0	0.017047646	0.0	0.0018620070000000002	0.004503515	0.006983093	0.0	0.0	0.08421288099999999	0.0	0.006978751	0.0	0.005009624	0.0	0.0	0.007976668000000001	0.0	0.0023943239999999998	0.0	0.01956694	0.005337978	0.0	0.0	0.0	0.041478969	0.0	0.0	0.0	0.0	0.0	0.002872053	0.0	0.0075628169999999995	0.028298966000000002	0.032094312	0.017059007	0.038953014	0.0	0.0	0.023742757000000003	0.022529324	0.0	0.078157406	0.042907294000000006	0.15778377400000002	0.0	0.0	0.015442726	0.0	0.030719423	0.0	0.0	0.050997017	0.01276735	0.022846457999999997	0.043861435	0.025324654	0.0	0.039465577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024661731	0.0	0.0	0.0	0.034247549	0.0	0.0	0.0006	0.001780769	0.0	0.011539256000000001	0.001485201	0.046605147	0.034465683999999996	0.0	0.0	0.0	0.0	0.0	0.047044511	0.02259367	0.0
T cells follicular helper	0.120155135	0.12108143699999999	0.10712943	0.076442686	0.09017389	0.07850914099999999	0.063899846	0.21528638	0.14351523800000002	0.081215321	0.14609265800000001	0.12095384599999999	0.030420077	0.246343411	0.025846821000000002	0.06911838	0.102236638	0.071046191	0.05354664	0.081437411	0.028949898999999998	0.080505319	0.114841797	0.068624777	0.069050908	0.10885708599999999	0.0	0.09857436900000001	0.032400282	0.021510701	0.06526563099999999	0.090907172	0.11882787	0.131386389	0.078790797	0.07694169099999999	0.103831855	0.11455851199999999	0.011127863	0.113525086	0.04562230900000001	0.053660767000000005	0.019991898	0.091536367	0.14650396300000001	0.02173603	0.067600749	0.072802004	0.087453755	0.008897555	0.113481673	0.066824445	0.124817775	0.09836879999999999	0.0	0.05909871	0.123163408	0.047179608	0.012962228000000001	0.08063651	0.132222066	0.14235823	0.096334247	0.084897241	0.034813421000000004	0.13713133800000002	0.081542668	0.078944992	0.078367954	0.153475261	0.08745788300000001	0.0	0.049996698	0.072030306	0.049831058	0.080382445	0.05079406400000001	0.0	0.021240303999999998	0.069337013	0.088303696	0.067386665	0.070762676	0.107722477	0.109037996	0.005553419	0.145067122	0.08229179	0.08008327400000001	0.104515885	0.03869546	0.055627117999999996	0.08178400000000001	0.031390214	0.021718026	0.126965856	0.099900401	0.00734563	0.047354864	0.096633379	0.090657877	0.083215883	0.07987679	0.038579376	0.088005048	0.11408053300000001	0.02638845	0.09817018599999999	0.07105832200000001	0.092249711	0.00616655	0.058941466	0.11813816	0.08976558	0.119146716	0.08628008599999999	0.111881435	0.15128398699999998	0.076608332	0.130852143	0.04913768599999999	0.113345658	0.08412474800000001	0.117718697	0.053460510999999995	0.170245752	0.038265512	0.074445731	0.044131595	0.036155231	0.051537018	0.05536341400000001	0.058506659	0.084803932	0.08796179300000001	0.004358723	0.160176073	0.062515139	0.087408699	0.110001991	0.150411997	0.10915355800000001	0.06359962400000001	0.082506112	0.07791398299999999	0.06584871	0.025516059	0.179627879	0.145519296	0.058582627000000005	0.057360879000000004	0.196186567	0.098829573	0.151627092	0.080050944	0.150515895	0.082736173	0.159059501	0.098839602	0.101661987	0.136186739	0.097805478	0.059740262	0.152306252	0.126973328	0.0	0.098961441	0.197056482	0.041930439	0.134075254	0.082128152	0.082302328	0.015009469
T cells regulatory (Tregs)	0.032528714	0.074250755	0.054468643	0.025914887999999997	0.022875594	0.062222482999999995	0.039426357999999995	0.020592782	0.01071285	0.025608462999999998	0.093515106	0.004107	0.0	0.018189775	0.00865339	0.044744623	0.038633678	0.054679727000000004	0.019638388	0.029848907999999997	0.036889398999999996	0.047140000999999994	0.076107568	0.012001196	0.008518391	0.065152131	0.0	0.06662314700000001	0.067937232	0.004919	0.056442318	0.057852640999999996	0.044674315	0.030986057	0.058072092	0.032966508	0.08068834	0.032696649	0.029303452	0.007319204	0.030481888	0.012344576000000001	0.0	0.045303326	0.025629994	0.031376936	0.036419145	0.036447531	0.064046359	0.002922002	0.00964789	0.083357259	0.025577638	0.071784225	0.0	0.007973038	0.09153102	0.119099459	0.019891031	0.081642913	0.061895645	0.060982947	0.073933793	0.07500573599999999	0.0	0.06401244	0.088883531	0.099089	0.0635805	0.042861666	0.010119017	0.0	0.0	0.021079583	0.038295012	0.026274147	0.026269446000000002	0.019396122	0.0003	0.046979739000000006	0.072979632	0.029841251000000003	0.06358122299999999	0.060192586	0.011066636000000001	0.010543452	0.064826128	0.02298013	0.014168018999999999	0.026855319	0.066056342	0.026028693999999998	0.046386036	0.002196836	0.014867195	0.009003973	0.008291896	0.029346159	0.032367065	0.031845548	0.026516102000000003	0.031812849	0.062825568	0.023833267999999998	0.057665075	0.066667937	0.0004	0.073706138	0.028713822000000003	0.032218887	0.0	0.037070964	0.030241059	0.046350417000000005	0.105658797	0.041051871000000004	0.046218521	0.057425729	0.074627502	0.0029399340000000004	0.022359233	0.159399464	0.052820374	0.018781755	0.039088545	0.017991148000000002	0.00226251	0.042900392999999995	0.0	0.032957359	0.068059738	0.036174527000000005	0.014017735	0.035304096	0.044332314000000005	0.0002	0.053185464	0.008439124000000001	0.007270985	0.0	0.021023412000000002	0.084102386	0.053897571	0.072499446	0.005669932	0.074552353	0.0	0.087722083	0.003703503	0.032442721	0.0	0.054693241	0.040600052000000005	0.065617098	0.158853037	0.103579478	0.08418574599999999	0.063698049	0.052378918	0.046911667000000004	0.051223267	0.06563021	0.007427118000000001	0.014929791000000001	0.05003831	0.007652055	0.01830755	0.0	0.0	0.016171275	0.031297492	0.023115512	0.0
T cells gamma delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.042787911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0066048090000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008025939000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.033812372	0.0	0.0	0.0	0.0	0.0	0.0	0.012756123999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011018683999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014363125	0.0	0.0	0.0	0.005899909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0
